x,y,r (pixel),is_circle,r (um)
582,622,68,yes,68
758,202,51,yes,51
144,332,60,yes,60
460,98,65,yes,65
540,376,61,yes,61
662,446,60,yes,60
484,508,63,yes,63
364,444,58,yes,58
532,222,56,yes,56
804,54,56,yes,56
678,126,59,yes,59
60,236,54,yes,54
368,186,55,yes,55
326,296,64,yes,64
256,394,48,yes,48
248,174,67,yes,67
788,476,49,yes,49
388,574,58,yes,58
718,574,55,yes,55
626,194,33,yes,33
260,496,47,yes,47
98,574,47,yes,47
430,348,41,yes,41
600,42,42,yes,42
224,630,54,yes,54
182,520,38,yes,38
120,446,63,no,63
432,254,48,yes,48
802,366,63,yes,63
42,392,41,yes,41
168,244,34,yes,34
204,628,73,yes,73
706,310,38,yes,38
842,578,52,yes,52
522,242,77,no,77
192,448,31,yes,31
812,140,33,yes,33
572,120,54,no,54
332,644,34,no,34
634,358,34,yes,34
482,616,45,yes,45
102,92,56,yes,56
710,36,33,yes,33
224,272,45,no,45
628,290,41,yes,41
674,240,35,yes,35
174,28,32,yes,32
134,186,31,yes,31
460,416,23,yes,23
448,186,32,yes,32
298,564,32,yes,32
264,474,49,no,49
388,550,47,no,47
312,108,30,yes,30
788,278,25,yes,25
576,516,30,yes,30
560,296,27,yes,27
488,300,31,yes,31
