index,x,y,r (pixel),is_circle,r (um),probability
46,436,464,61,yes,61,0.5523255813953488
12,196,114,28,yes,28,0.5448717948717948
13,126,226,29,yes,29,0.5182926829268293
43,808,384,59,yes,59,0.5138339920948617
10,682,20,27,yes,27,0.5042016806722689
14,726,176,29,yes,29,0.4634146341463415
33,234,176,42,yes,42,0.4491525423728814
35,628,322,43,yes,43,0.44583333333333336
2,242,116,19,yes,19,0.4326923076923077
4,316,492,23,yes,23,0.421875
39,30,330,48,yes,48,0.4153846153846154
27,254,300,39,yes,39,0.4090909090909091
19,218,242,33,yes,33,0.40217391304347827
30,602,116,40,yes,40,0.4017857142857143
45,322,234,60,yes,60,0.3958333333333333
18,536,80,33,yes,33,0.391304347826087
0,234,502,16,yes,16,0.38636363636363635
34,696,242,43,yes,43,0.37916666666666665
20,620,488,34,yes,34,0.3697916666666667
48,216,422,70,yes,70,0.35714285714285715
11,712,66,27,yes,27,0.34868421052631576
8,794,136,25,yes,25,0.34285714285714286
16,590,46,30,yes,30,0.3273809523809524
22,800,198,36,yes,36,0.32
44,154,312,60,yes,60,0.31845238095238093
38,538,288,48,yes,48,0.31716417910447764
29,614,242,40,yes,40,0.3169642857142857
36,522,156,46,yes,46,0.3153846153846154
40,778,282,49,yes,49,0.3115942028985507
32,152,168,41,yes,41,0.31140350877192985
28,504,4,39,yes,39,0.31092436974789917
47,422,304,62,yes,62,0.3103448275862069
26,462,66,38,yes,38,0.2971698113207547
17,702,316,31,yes,31,0.29651162790697677
9,588,180,27,yes,27,0.29605263157894735
7,552,210,25,yes,25,0.29285714285714287
21,416,198,34,yes,34,0.28125
42,536,402,58,yes,58,0.2621951219512195
41,380,120,51,yes,51,0.2361111111111111
37,62,422,48,yes,48,0.23507462686567165
23,292,124,36,yes,36,0.235
24,482,226,37,no,37,0.21153846153846154
3,778,56,22,yes,22,0.20967741935483872
25,80,260,37,no,37,0.1875
6,70,170,24,yes,24,0.17424242424242425
31,284,570,40,yes,40,0.17410714285714285
1,474,116,18,yes,18,0.16
5,670,456,24,yes,24,0.12121212121212122
15,418,618,29,yes,29,0.11585365853658537
