x,y,r (pixel),is_circle,r (um)
374,162,60,yes,60
526,150,84,yes,84
362,310,80,yes,80
112,104,57,yes,57
114,426,75,yes,75
580,390,77,yes,77
634,562,91,yes,91
794,458,87,yes,87
484,528,67,yes,67
704,218,64,yes,64
486,294,48,yes,48
152,268,80,yes,80
446,410,54,yes,54
708,332,52,yes,52
600,262,52,yes,52
168,552,68,yes,68
416,50,61,yes,61
658,108,47,yes,47
210,154,50,yes,50
234,370,56,yes,56
276,54,80,yes,80
316,500,103,yes,103
730,44,43,yes,43
134,426,94,no,94
276,214,44,yes,44
850,326,59,yes,59
384,324,105,no,105
762,128,45,yes,45
276,638,78,no,78
650,552,87,no,87
38,190,62,yes,62
726,220,84,no,84
838,204,63,yes,63
518,22,39,yes,39
796,618,82,yes,82
830,116,32,yes,32
602,374,101,no,101
610,8,64,yes,64
514,168,77,no,77
256,280,35,yes,35
40,572,64,yes,64
618,550,62,no,62
