x,y,r (pixel),is_circle,r (um)
168,446,44,yes,44
618,50,39,yes,39
292,32,39,yes,39
644,208,37,yes,37
424,218,66,no,66
246,262,37,yes,37
786,98,32,yes,32
142,48,27,yes,27
36,486,36,yes,36
728,210,71,no,71
468,150,56,no,56
726,98,26,yes,26
122,354,59,no,59
440,526,41,no,41
754,332,41,yes,41
318,294,36,yes,36
662,330,37,yes,37
338,122,35,yes,35
792,448,57,no,57
680,316,46,no,46
458,202,22,yes,22
592,164,31,yes,31
368,316,28,yes,28
448,142,41,no,41
134,268,24,yes,24
210,584,45,no,45
422,592,33,yes,33
390,46,22,yes,22
398,88,39,no,39
362,216,41,no,41
176,230,29,yes,29
88,124,24,yes,24
104,226,22,yes,22
308,234,31,no,31
620,116,24,yes,24
826,372,37,yes,37
488,604,30,yes,30
818,44,27,yes,27
398,260,47,no,47
700,156,42,no,42
720,380,23,yes,23
138,334,38,no,38
240,164,36,no,36
696,52,24,yes,24
520,282,26,yes,26
548,210,40,no,40
498,540,36,no,36
54,192,32,no,32
598,548,27,yes,27
438,52,26,yes,26
790,580,46,no,46
828,272,44,yes,44
232,648,39,no,39
312,148,28,no,28
122,176,26,yes,26
666,88,26,yes,26
708,498,26,yes,26
506,492,34,no,34
490,412,32,no,32
418,408,29,yes,29
702,272,29,yes,29
242,526,34,no,34
540,462,28,yes,28
172,174,26,no,26
76,166,26,yes,26
736,458,24,yes,24
600,592,36,no,36
750,266,26,yes,26
470,272,26,yes,26
556,516,22,yes,22
22,334,22,yes,22
52,308,30,no,30
240,458,26,yes,26
476,380,14,yes,14
54,368,31,yes,31
138,132,28,no,28
652,260,27,yes,27
538,144,30,no,30
664,616,24,yes,24
676,534,22,yes,22
492,60,24,yes,24
302,632,29,yes,29
720,606,27,no,27
54,242,21,yes,21
434,454,25,yes,25
512,364,21,yes,21
764,146,18,yes,18
