x,y,r (pixel),is_circle,r (um)
190,406,102,yes,102
656,366,143,yes,143
632,364,158,no,158
552,180,75,yes,75
400,520,162,no,162
384,238,133,no,133
352,234,134,yes,134
420,498,132,yes,132
444,520,162,no,162
300,234,233,no,233
644,346,138,no,138
604,376,189,no,189
466,532,186,no,186
222,384,139,no,139
232,616,94,yes,94
672,346,117,no,117
326,320,221,no,221
618,340,159,no,159
306,192,190,no,190
676,366,162,no,162
468,210,208,no,208
354,280,171,no,171
22,562,116,yes,116
360,256,155,no,155
464,502,135,no,135
426,222,176,no,176
374,216,107,no,107
638,408,188,no,188
598,576,59,yes,59
416,252,205,no,205
616,410,203,no,203
740,88,126,yes,126
700,354,140,no,140
442,478,103,no,103
456,190,189,no,189
326,246,164,no,164
406,214,158,no,158
384,276,186,no,186
500,516,167,no,167
156,148,80,yes,80
366,456,227,no,227
374,476,212,no,212
372,196,177,no,177
748,114,116,no,116
352,204,159,no,159
694,386,156,no,156
208,418,75,no,75
418,194,181,no,181
242,380,159,no,159
180,422,121,no,121
406,234,154,no,154
438,450,158,no,158
204,442,140,no,140
202,388,81,no,81
330,216,157,no,157
484,482,150,no,150
166,350,139,no,139
670,386,105,no,105
398,498,149,no,149
158,384,135,no,135
330,194,176,no,176
698,330,150,no,150
422,520,140,no,140
434,36,61,yes,61
402,544,138,no,138
408,280,204,no,204
434,264,182,no,182
632,384,174,no,174
182,382,127,no,127
186,148,92,no,92
668,310,180,no,180
488,544,179,no,179
426,466,159,no,159
304,254,187,no,187
512,548,135,no,135
232,412,114,no,114
378,506,165,no,165
380,526,165,no,165
462,480,146,no,146
392,196,166,no,166
440,500,116,no,116
484,502,154,no,154
138,160,101,no,101
364,310,189,no,189
436,242,170,no,170
708,310,168,no,168
188,362,123,no,123
716,382,171,no,171
598,334,148,no,148
720,84,107,no,107
306,214,172,no,172
208,364,121,no,121
322,272,143,no,143
760,86,142,no,142
584,478,45,yes,45
724,350,159,no,159
728,104,118,no,118
614,556,85,no,85
684,298,166,no,166
396,464,130,no,130
476,452,123,no,123
192,126,109,no,109
160,414,106,no,106
144,128,100,no,100
656,328,127,no,127
440,542,94,no,94
578,178,77,no,77
396,256,123,no,123
660,414,115,no,115
524,154,100,no,100
420,562,122,no,122
758,132,93,no,93
256,590,94,no,94
210,628,99,no,99
532,206,86,no,86
532,182,93,no,93
42,542,89,no,89
4,570,136,no,136
406,582,108,no,108
252,610,74,no,74
182,168,92,no,92
744,68,159,no,159
126,112,108,no,108
344,298,131,no,131
702,432,121,no,121
494,464,106,no,106
630,596,84,no,84
230,362,105,no,105
676,426,94,no,94
458,550,94,no,94
564,196,50,no,50
768,110,117,no,117
212,594,89,no,89
562,160,53,no,53
792,586,110,no,110
548,146,96,no,96
280,18,75,no,75
368,628,48,yes,48
60,562,87,no,87
534,508,78,no,78
156,108,80,no,80
630,574,66,no,66
356,336,105,no,105
64,24,66,yes,66
166,130,62,no,62
208,232,25,yes,25
214,332,95,no,95
716,404,73,no,73
362,176,66,no,66
488,580,52,no,52
786,614,122,no,122
42,572,91,no,91
634,432,52,no,52
694,92,84,no,84
704,60,82,no,82
250,636,63,no,63
604,80,34,yes,34
92,542,70,no,70
464,582,50,no,50
322,406,44,no,44
478,132,74,no,74
148,190,46,no,46
542,292,24,yes,24
564,472,48,no,48
492,344,54,no,54
120,438,42,no,42
120,364,38,no,38
608,596,32,no,32
258,176,47,no,47
242,270,31,no,31
582,350,35,no,35
496,300,14,yes,14
386,312,61,no,61
738,412,50,no,50
424,426,49,no,49
660,446,44,no,44
242,436,37,no,37
498,274,32,no,32
120,152,42,no,42
316,430,40,no,40
100,222,27,yes,27
92,412,16,yes,16
