x,y,r (pixel),is_circle,r (um)
618,536,80,yes,80
104,304,115,yes,115
384,324,101,yes,101
354,296,142,no,142
282,134,132,no,132
400,510,148,no,148
650,224,57,yes,57
374,282,141,no,141
790,628,54,yes,54
456,494,91,yes,91
544,284,68,yes,68
398,284,124,no,124
366,312,122,no,122
556,164,54,yes,54
260,178,104,no,104
678,376,97,yes,97
722,136,61,yes,61
142,278,141,no,141
302,188,84,no,84
218,496,64,yes,64
800,250,76,yes,76
306,152,113,no,113
428,132,98,no,98
430,528,144,no,144
636,208,78,no,78
660,192,90,no,90
286,164,77,no,77
690,332,138,no,138
432,502,116,no,116
740,496,51,yes,51
116,264,118,no,118
282,194,105,no,105
696,150,87,no,87
450,132,59,yes,59
246,376,61,yes,61
490,150,83,no,83
262,270,48,yes,48
248,590,42,yes,42
168,84,104,no,104
562,264,95,no,95
428,112,89,no,89
546,144,77,no,77
466,538,128,no,128
238,342,98,no,98
550,392,48,yes,48
328,500,49,yes,49
190,64,62,no,62
120,292,96,no,96
228,360,87,no,87
794,420,44,yes,44
200,480,87,no,87
458,220,37,yes,37
120,320,116,no,116
268,150,74,no,74
784,44,49,yes,49
406,310,89,no,89
374,100,44,no,44
700,120,67,no,67
666,358,104,no,104
168,46,90,no,90
408,26,58,yes,58
662,52,41,yes,41
90,282,89,no,89
376,570,42,yes,42
526,32,61,no,61
622,512,57,no,57
218,470,84,no,84
442,152,75,no,75
102,118,40,yes,40
292,74,30,yes,30
242,278,65,no,65
182,416,29,yes,29
318,168,69,no,69
280,250,66,no,66
542,264,71,no,71
492,600,45,yes,45
706,596,40,yes,40
404,334,79,no,79
818,138,37,yes,37
520,266,70,no,70
380,184,52,no,52
40,172,45,yes,45
370,426,34,yes,34
714,48,46,no,46
140,172,33,yes,33
694,360,86,no,86
526,294,82,no,82
636,138,33,yes,33
784,234,73,no,73
18,24,77,yes,77
534,374,72,no,72
450,98,65,no,65
530,162,58,no,58
626,188,59,no,59
246,254,53,no,53
466,118,68,no,68
532,52,60,no,60
196,100,80,no,80
320,468,51,no,51
88,262,85,no,85
804,220,50,no,50
262,232,59,no,59
152,578,58,no,58
210,72,72,no,72
440,208,45,no,45
400,194,37,yes,37
524,246,60,no,60
350,84,41,no,41
170,654,30,yes,30
316,432,20,yes,20
572,146,63,no,63
636,46,56,no,56
428,608,30,yes,30
202,160,36,yes,36
234,508,62,no,62
582,658,52,no,52
316,606,30,yes,30
452,454,46,no,46
342,230,41,no,41
268,72,41,no,41
694,578,60,no,60
720,160,53,no,53
730,116,40,no,40
308,132,49,no,49
312,398,41,no,41
792,338,39,yes,39
62,626,58,no,58
778,254,47,no,47
552,246,44,no,44
586,84,43,no,43
36,152,43,no,43
338,482,43,no,43
386,140,20,yes,20
510,50,49,no,49
652,122,41,no,41
734,192,34,no,34
388,32,31,no,31
612,118,23,no,23
510,204,19,yes,19
598,186,29,no,29
608,90,27,no,27
74,646,47,no,47
728,474,42,no,42
594,310,38,no,38
198,310,37,no,37
500,132,27,no,27
364,540,41,no,41
582,198,30,no,30
610,492,39,no,39
672,652,29,yes,29
396,10,47,no,47
