x,y,r (pixel),is_circle,r (um)
444,574,215,yes,215
64,268,167,yes,167
462,76,230,yes,230
422,576,235,no,235
436,54,264,no,264
456,556,194,no,194
452,608,279,no,279
460,586,236,no,236
474,50,309,no,309
468,626,301,no,301
474,602,298,no,298
424,618,252,no,252
410,592,252,no,252
436,552,194,no,194
442,532,174,no,174
58,294,185,no,185
502,62,321,no,321
140,516,92,yes,92
436,592,256,no,256
76,284,172,no,172
480,572,223,no,223
482,68,299,no,299
478,88,286,no,286
400,568,259,no,259
494,626,321,no,321
46,346,267,no,267
394,610,266,no,266
172,516,123,no,123
442,630,303,no,303
30,304,302,no,302
374,610,292,no,292
40,262,191,no,191
478,110,195,no,195
440,86,258,no,258
60,362,252,no,252
456,34,323,no,323
408,634,271,no,271
498,600,272,no,272
82,330,228,no,228
6,296,312,no,312
60,330,281,no,281
414,538,208,no,208
86,264,145,no,145
42,282,192,no,192
382,590,300,no,300
852,380,232,no,232
128,316,222,no,222
178,488,100,no,100
852,324,178,no,178
380,514,170,no,170
84,310,258,no,258
480,546,210,no,210
852,344,188,no,188
504,570,239,no,239
414,68,308,no,308
492,646,299,no,299
410,518,192,no,192
458,102,204,no,204
74,246,144,no,144
388,544,202,no,202
104,298,192,no,192
168,466,112,no,112
172,538,102,no,102
384,488,195,no,195
852,300,164,no,164
464,518,181,no,181
364,526,158,no,158
150,540,94,no,94
62,218,216,no,216
16,266,215,no,215
44,318,210,no,210
438,510,154,no,154
138,484,85,no,85
108,516,105,no,105
246,366,92,no,92
158,494,93,no,93
422,102,264,no,264
436,130,236,no,236
152,366,152,no,152
120,496,86,no,86
828,332,162,no,162
346,506,147,no,147
416,494,134,no,134
118,338,113,no,113
122,534,67,no,67
124,286,181,no,181
362,546,176,no,176
844,280,145,no,145
822,272,125,no,125
366,466,124,no,124
322,486,118,no,118
266,370,74,no,74
358,484,135,no,135
106,322,131,no,131
338,532,151,no,151
136,348,92,no,92
494,522,145,no,145
282,352,68,no,68
146,458,65,no,65
250,336,65,no,65
302,600,133,no,133
104,274,128,no,128
222,464,62,no,62
96,244,126,no,126
246,438,51,no,51
130,372,81,no,81
190,464,63,no,63
82,210,108,no,108
114,386,66,no,66
250,458,43,no,43
106,364,90,no,90
206,414,36,no,36
306,392,29,no,29
98,342,94,no,94
288,326,46,no,46
146,560,35,no,35
290,406,34,no,34
36,406,29,no,29
238,394,26,no,26
232,482,42,no,42
338,618,109,no,109
