x,y,r (pixel),is_circle,r (um)
144,432,129,no,129
438,390,168,yes,168
694,588,138,no,138
454,358,135,no,135
268,148,127,yes,127
124,460,163,yes,163
280,132,107,no,107
450,138,63,yes,63
730,298,156,yes,156
432,370,161,no,161
676,602,161,yes,161
746,270,123,no,123
146,462,137,no,137
294,154,152,no,152
110,446,166,no,166
460,380,191,no,191
134,230,58,yes,58
724,278,176,no,176
426,406,148,no,148
248,142,139,no,139
414,386,170,no,170
750,308,162,no,162
568,190,73,yes,73
460,402,179,no,179
318,182,181,no,181
390,386,193,no,193
806,36,106,yes,106
712,246,210,no,210
136,486,136,no,136
112,426,200,no,200
170,452,160,no,160
482,370,214,no,214
246,114,160,no,160
594,182,76,no,76
114,404,200,no,200
700,608,153,no,153
272,110,148,no,148
760,342,89,no,89
710,570,114,no,114
720,604,167,no,167
754,248,107,no,107
452,338,116,no,116
730,252,115,no,115
168,478,117,no,117
510,412,87,no,87
154,494,101,no,101
474,352,124,no,124
494,392,113,no,113
492,426,83,no,83
194,488,89,no,89
154,248,57,no,57
470,134,70,no,70
436,122,34,no,34
726,206,70,no,70
292,186,74,no,74
