x,y,r (pixel),is_circle,r (um)
290,148,88,yes,68.64
704,394,89,no,69.42
532,326,78,yes,60.84
450,194,74,yes,57.72
726,158,93,no,72.54
722,556,62,yes,48.36
266,160,115,no,89.7
520,82,64,no,49.92
558,120,56,no,43.68
706,524,101,no,78.78
606,214,57,yes,44.46
684,402,89,no,69.42
704,158,72,no,56.160000000000004
738,546,83,no,64.74000000000001
404,66,61,no,47.58
698,548,80,no,62.400000000000006
496,74,40,no,31.200000000000003
786,474,48,yes,37.44
758,272,49,yes,38.22
200,454,47,yes,36.660000000000004
566,586,56,no,43.68
704,370,48,no,37.44
640,100,43,yes,33.54
234,562,58,no,45.24
584,130,38,yes,29.64
372,382,69,no,53.82
388,258,41,no,31.98
628,326,18,no,14.040000000000001
668,270,39,no,30.42
630,492,38,no,29.64
