x,y,r (pixel),is_circle,r (um)
260,234,19,yes,19
608,622,43,no,43
282,172,22,yes,22
138,200,17,yes,17
290,212,19,yes,19
226,228,17,yes,17
250,624,29,no,29
264,274,22,yes,22
738,30,22,yes,22
314,316,17,yes,17
162,428,25,no,25
318,494,18,yes,18
574,322,15,yes,15
418,388,21,yes,21
600,350,18,yes,18
370,382,18,yes,18
230,320,27,yes,27
224,540,22,yes,22
708,574,20,yes,20
464,326,19,yes,19
360,132,19,yes,19
724,388,19,yes,19
130,76,18,yes,18
280,314,19,yes,19
334,520,18,yes,18
196,454,18,yes,18
476,432,17,yes,17
94,294,14,yes,14
338,284,24,yes,24
360,646,18,yes,18
310,422,18,yes,18
160,338,18,yes,18
62,146,22,yes,22
28,104,19,yes,19
514,280,17,yes,17
110,600,16,yes,16
38,282,15,yes,15
708,516,14,yes,14
424,654,17,yes,17
430,352,16,yes,16
300,282,17,yes,17
522,84,17,yes,17
160,114,21,yes,21
540,316,16,yes,16
140,620,14,yes,14
