x,y,r (pixel),is_circle,r (um)
48,154,29,yes,29
106,168,34,yes,34
170,410,30,yes,30
72,482,43,no,43
832,52,22,yes,22
500,438,26,yes,26
86,376,44,no,44
98,108,19,yes,19
66,252,36,no,36
220,158,27,yes,27
352,88,39,no,39
162,212,19,yes,19
422,268,18,yes,18
80,556,25,yes,25
252,296,20,yes,20
118,314,15,yes,15
552,398,21,yes,21
744,356,17,yes,17
280,88,17,yes,17
348,250,29,no,29
398,144,22,yes,22
26,564,26,no,26
574,190,19,yes,19
150,256,17,yes,17
604,492,24,yes,24
388,366,17,yes,17
672,374,13,yes,13
614,366,24,yes,24
258,512,24,yes,24
460,126,22,yes,22
624,136,20,yes,20
456,284,19,yes,19
568,76,17,yes,17
44,392,16,yes,16
360,566,15,yes,15
714,178,26,yes,26
190,648,18,yes,18
58,110,17,yes,17
668,178,16,yes,16
786,502,25,no,25
206,108,19,yes,19
742,228,16,yes,16
126,232,15,yes,15
60,44,27,yes,27
130,434,22,yes,22
112,578,15,yes,15
148,70,20,yes,20
314,270,17,yes,17
740,284,16,yes,16
370,170,15,yes,15
138,616,26,no,26
280,260,20,yes,20
568,108,19,yes,19
622,198,18,yes,18
294,296,16,yes,16
636,456,24,yes,24
290,390,17,yes,17
754,98,17,yes,17
676,66,14,yes,14
674,256,19,yes,19
100,518,17,yes,17
694,616,15,yes,15
470,312,14,yes,14
148,32,23,no,23
256,362,18,yes,18
692,400,16,yes,16
182,534,15,yes,15
250,228,14,yes,14
360,344,17,yes,17
502,370,15,yes,15
706,50,13,yes,13
490,280,16,yes,16
354,390,15,yes,15
392,216,14,yes,14
730,472,18,yes,18
64,192,19,yes,19
494,228,18,yes,18
442,204,17,yes,17
182,58,16,yes,16
402,100,13,yes,13
612,42,13,yes,13
448,32,18,yes,18
472,492,17,yes,17
588,410,16,yes,16
308,126,15,yes,15
100,62,14,yes,14
186,274,14,yes,14
206,370,14,yes,14
118,274,17,yes,17
710,336,17,no,17
516,94,17,yes,17
388,546,13,yes,13
174,86,11,yes,11
304,576,18,yes,18
398,184,17,yes,17
486,586,17,yes,17
278,44,14,yes,14
328,52,14,yes,14
22,106,13,yes,13
42,78,12,yes,12
208,38,19,yes,19
796,280,18,yes,18
422,458,17,yes,17
216,240,16,yes,16
228,342,15,yes,15
466,194,14,yes,14
728,404,14,yes,14
656,304,12,yes,12
390,56,11,yes,11
24,40,10,yes,10
374,484,20,yes,20
62,346,17,yes,17
444,358,17,yes,17
58,590,15,yes,15
28,238,14,yes,14
44,214,12,yes,12
