x,y,r (pixel),is_circle,r (um)
686,182,160,yes,160
336,192,134,yes,134
588,478,157,yes,157
266,484,172,yes,172
282,458,202,no,202
288,484,178,no,178
250,498,186,no,186
686,162,134,no,134
318,182,153,no,153
588,448,136,no,136
340,166,113,no,113
608,484,168,no,168
260,464,191,no,191
710,184,183,no,183
554,446,203,no,203
382,218,180,no,180
244,478,180,no,180
256,442,208,no,208
364,202,164,no,164
532,428,231,no,231
518,446,231,no,231
730,162,175,no,175
198,450,233,no,233
220,482,201,no,201
568,470,177,no,177
234,516,216,no,216
650,166,200,no,200
232,462,196,no,196
306,470,213,no,213
738,204,206,no,206
272,522,198,no,198
314,450,187,no,187
604,460,155,no,155
710,160,158,no,158
698,200,139,no,139
324,150,133,no,133
292,174,172,no,172
560,418,221,no,221
292,436,167,no,167
648,190,193,no,193
622,452,159,no,159
574,434,157,no,157
670,146,157,no,157
540,460,205,no,205
354,150,119,no,119
736,184,189,no,189
306,516,167,no,167
302,152,149,no,149
354,182,138,no,138
382,192,168,no,168
308,496,156,no,156
696,140,140,no,140
304,204,159,no,159
390,164,162,no,162
634,500,183,no,183
666,180,127,no,127
204,500,183,no,183
332,212,115,no,115
222,444,102,no,102
226,422,125,no,125
368,164,101,no,101
724,138,137,no,137
336,496,137,no,137
750,166,88,no,88
638,216,104,no,104
342,520,130,no,130
654,494,122,no,122
80,238,118,no,118
636,152,92,no,92
282,152,70,no,70
200,472,90,no,90
642,454,91,no,91
400,206,51,no,51
620,198,91,no,91
378,138,88,no,88
660,464,75,no,75
760,190,76,no,76
610,156,80,no,80
