x,y,r (pixel),is_circle,r (um)
246,142,131,yes,131
556,302,157,yes,157
282,400,138,yes,138
536,318,182,no,182
606,354,227,no,227
588,278,200,no,200
434,606,127,yes,127
580,326,190,no,190
516,352,225,no,225
576,296,138,no,138
614,328,220,no,220
232,126,143,no,143
520,294,201,no,201
298,376,108,no,108
636,528,98,yes,98
520,272,199,no,199
268,158,157,no,157
222,476,233,no,233
550,272,226,no,226
258,406,159,no,159
522,248,215,no,215
298,416,160,no,160
770,76,128,yes,128
636,340,244,no,244
450,586,98,no,98
590,258,219,no,219
556,328,178,no,178
230,410,187,no,187
18,196,106,yes,106
260,126,106,no,106
500,274,215,no,215
238,380,174,no,174
328,376,192,no,192
260,382,150,no,150
502,240,235,no,235
252,436,184,no,184
244,358,169,no,169
616,524,105,no,105
548,248,199,no,199
308,396,123,no,123
598,312,165,no,165
652,514,80,no,80
224,146,147,no,147
48,428,98,no,98
586,346,209,no,209
302,356,89,no,89
166,464,148,no,148
410,606,143,no,143
572,554,133,no,133
282,112,176,no,176
204,630,101,no,101
470,568,116,no,116
350,368,155,no,155
770,246,65,no,65
468,612,162,no,162
604,290,148,no,148
626,250,135,no,135
328,396,134,no,134
642,552,123,no,123
480,636,152,no,152
532,30,106,no,106
748,248,62,yes,62
272,366,146,no,146
426,582,120,no,120
212,120,125,no,125
572,266,122,no,122
752,678,83,yes,83
428,630,148,no,148
38,184,89,no,89
270,178,75,no,75
656,536,71,no,71
500,600,137,no,137
626,308,102,no,102
632,500,104,no,104
328,418,89,no,89
32,212,93,no,93
322,352,126,no,126
664,488,99,no,99
224,622,78,no,78
610,548,66,no,66
282,132,120,no,120
262,104,90,no,90
192,120,107,no,107
46,448,90,no,90
50,236,54,no,54
612,374,80,no,80
308,168,64,no,64
210,100,111,no,111
440,560,81,no,81
288,164,76,no,76
790,242,70,no,70
358,462,61,no,61
636,362,73,no,73
650,304,84,no,84
576,232,88,no,88
156,436,71,no,71
478,594,74,no,74
74,474,58,no,58
354,428,54,no,54
284,196,51,no,51
492,548,45,no,45
606,238,79,no,79
312,130,63,no,63
338,444,60,no,60
88,454,52,no,52
52,380,44,no,44
764,270,37,no,37
306,194,44,no,44
306,332,67,no,67
494,574,62,no,62
300,462,55,no,55
236,640,43,no,43
212,578,33,no,33
508,624,49,no,49
730,236,41,no,41
588,372,68,no,68
326,464,52,no,52
272,460,50,no,50
