x,y,r (pixel),is_circle,r (um)
196,150,48,yes,48
782,194,49,yes,49
774,10,62,yes,62
604,430,58,yes,58
782,426,49,yes,49
612,196,36,yes,36
698,390,44,yes,44
770,334,44,yes,44
452,72,42,yes,42
512,412,38,yes,38
646,124,47,yes,47
182,346,46,yes,46
624,524,44,yes,44
732,566,41,yes,41
458,286,48,yes,48
524,214,41,yes,41
528,50,39,yes,39
266,292,50,yes,50
282,130,40,yes,40
492,556,50,yes,50
364,152,46,yes,46
362,64,41,yes,41
512,624,29,yes,29
736,112,43,yes,43
620,42,38,yes,38
166,58,46,yes,46
270,382,41,yes,41
518,126,38,yes,38
156,242,42,yes,42
696,194,39,yes,39
806,518,48,yes,48
536,484,34,yes,34
104,170,46,yes,46
458,360,30,yes,30
704,484,48,yes,48
446,172,39,yes,39
658,598,38,yes,38
396,226,34,yes,34
764,262,28,yes,28
646,266,42,yes,42
118,418,44,yes,44
64,92,32,yes,32
570,590,42,yes,42
640,338,31,yes,31
346,424,41,yes,41
300,520,28,yes,28
368,298,45,yes,45
748,650,44,yes,44
698,314,31,yes,31
402,584,45,yes,45
40,426,36,yes,36
176,518,36,yes,36
200,450,39,yes,39
326,224,37,yes,37
356,642,33,yes,33
470,474,33,yes,33
290,60,29,yes,29
424,424,33,yes,33
452,638,32,yes,32
46,502,36,yes,36
262,198,33,yes,33
234,564,27,yes,27
70,224,26,yes,26
214,624,33,yes,33
116,312,30,yes,30
68,278,28,yes,28
822,104,43,yes,43
116,492,31,yes,31
238,28,30,yes,30
712,252,23,yes,23
394,484,35,yes,35
582,306,30,yes,30
328,588,25,yes,25
236,82,24,yes,24
578,146,25,yes,25
350,538,24,yes,24
274,628,25,yes,25
330,360,27,yes,27
530,280,25,yes,25
58,354,40,yes,40
284,464,32,yes,32
286,292,63,no,63
846,262,45,yes,45
582,246,24,yes,24
238,506,31,yes,31
100,44,26,yes,26
394,370,32,yes,32
694,52,39,no,39
806,586,33,no,33
120,102,23,yes,23
194,328,52,no,52
614,658,38,yes,38
512,328,24,yes,24
130,402,48,no,48
562,362,31,no,31
218,240,22,yes,22
506,222,44,no,44
826,280,30,no,30
