x,y,r (pixel),is_circle,r (um)
612,214,122,yes,122
564,490,92,yes,92
512,10,91,yes,91
370,324,156,no,156
394,522,79,yes,79
406,128,70,yes,70
606,246,154,no,154
350,310,120,no,120
510,354,53,yes,53
330,322,136,yes,136
700,468,48,yes,48
650,250,173,no,173
594,228,138,no,138
148,560,162,yes,162
622,234,144,no,144
556,272,271,no,271
376,272,199,no,199
600,268,175,no,175
762,360,83,yes,83
670,236,185,no,185
108,168,136,no,136
350,332,135,no,135
376,294,184,no,184
648,176,193,no,193
116,148,159,yes,159
584,206,154,no,154
646,228,168,no,168
350,496,137,no,137
598,498,126,no,126
612,192,149,no,149
784,178,63,yes,63
420,282,220,no,220
134,354,35,yes,35
658,302,202,no,202
372,520,106,no,106
564,470,74,no,74
348,288,98,no,98
390,312,179,no,179
564,184,182,no,182
670,280,206,no,206
398,110,82,no,82
114,126,180,no,180
272,354,199,no,199
314,288,169,no,169
398,278,179,no,179
136,164,161,no,161
426,126,89,no,89
412,316,199,no,199
314,340,160,no,160
148,536,140,no,140
262,188,41,yes,41
632,210,142,no,142
636,298,213,no,213
582,528,139,no,139
292,368,194,no,194
582,248,160,no,160
448,102,105,no,105
446,418,42,yes,42
392,336,170,no,170
538,472,122,no,122
388,142,96,no,96
156,156,155,no,155
138,144,158,no,158
598,176,130,no,130
408,540,101,no,101
724,366,120,no,120
350,264,130,no,130
292,346,126,no,126
384,540,76,no,76
486,372,73,no,73
158,354,58,no,58
586,470,102,no,102
326,370,92,no,92
488,338,79,no,79
428,84,96,no,96
160,468,99,no,99
808,182,82,no,82
186,176,121,no,121
238,654,28,yes,28
418,108,75,no,75
774,344,80,no,80
102,108,107,no,107
546,194,64,no,64
580,280,112,no,112
386,250,108,no,108
530,256,50,no,50
120,494,95,no,95
272,608,28,yes,28
