x,y,r (pixel),is_circle,r (um)
382,370,153,no,153
660,392,130,yes,130
222,162,115,no,115
224,182,135,yes,135
382,348,132,no,132
646,374,154,no,154
532,100,183,yes,183
232,138,135,no,135
354,390,157,no,157
400,380,138,no,138
692,416,168,no,168
234,212,166,no,166
742,592,91,yes,91
200,136,139,no,139
358,364,135,no,135
252,184,152,no,152
678,402,148,no,148
558,594,89,yes,89
194,162,161,no,161
242,160,131,no,131
516,86,202,no,202
380,390,133,yes,133
640,352,159,no,159
416,392,158,no,158
676,378,134,no,134
550,80,202,no,202
332,402,183,no,183
188,182,155,no,155
636,394,150,no,150
402,342,140,no,140
670,468,205,no,205
620,414,170,no,170
218,120,156,no,156
604,378,184,no,184
680,434,175,no,175
358,412,172,no,172
414,320,161,no,161
254,142,142,no,142
418,364,155,no,155
360,340,150,no,150
540,60,214,no,214
386,324,152,no,152
652,412,148,no,148
206,190,117,no,117
438,348,186,no,186
624,368,170,no,170
168,160,159,no,159
466,96,249,no,249
586,424,204,no,204
392,412,158,no,158
696,376,170,no,170
620,436,188,no,188
348,320,175,no,175
526,578,138,no,138
440,374,178,no,178
270,156,152,no,152
192,112,151,no,151
424,412,178,no,178
704,400,164,no,164
616,394,166,no,166
546,574,109,no,109
588,578,106,no,106
580,74,235,no,235
572,94,186,no,186
202,212,96,no,96
178,130,144,no,144
850,190,128,yes,128
724,576,114,no,114
826,184,124,no,124
338,370,146,no,146
334,344,128,no,128
566,562,88,no,88
588,612,123,no,123
758,576,89,no,89
280,174,102,no,102
496,110,162,no,162
258,110,109,no,109
714,430,83,no,83
272,126,98,no,98
316,352,101,no,101
408,280,116,no,116
642,430,97,no,97
600,406,95,no,95
184,202,65,no,65
270,200,83,no,83
328,294,78,no,78
722,410,82,no,82
442,316,103,no,103
732,446,59,no,59
