x,y,r (pixel),is_circle,r (um)
286,348,65,yes,191.75
558,540,48,yes,141.60000000000002
280,230,54,yes,159.3
750,130,81,yes,238.95000000000002
330,570,88,yes,259.6
90,96,58,yes,171.10000000000002
598,156,55,yes,162.25
512,370,51,yes,150.45000000000002
260,116,59,yes,174.05
410,358,53,yes,156.35000000000002
86,492,63,yes,185.85000000000002
380,444,46,yes,135.70000000000002
194,266,44,yes,129.8
184,420,64,yes,188.8
72,466,71,no,209.45000000000002
164,178,52,yes,153.4
548,658,54,yes,159.3
724,444,46,yes,135.70000000000002
108,594,90,no,265.5
624,268,60,yes,177.0
60,310,58,yes,171.10000000000002
738,532,44,yes,129.8
498,156,44,yes,129.8
168,552,48,no,141.60000000000002
474,584,51,yes,150.45000000000002
94,610,74,no,218.3
610,436,70,yes,206.5
792,278,64,yes,188.8
630,580,40,yes,118.0
86,214,40,yes,118.0
114,486,92,no,271.40000000000003
642,64,48,yes,141.60000000000002
780,378,36,yes,106.2
388,124,64,yes,188.8
364,268,48,yes,141.60000000000002
442,498,40,yes,118.0
294,448,43,yes,126.85000000000001
456,424,34,yes,100.30000000000001
66,602,82,no,241.9
22,400,49,yes,144.55
704,620,44,yes,129.8
266,348,85,no,250.75000000000003
440,224,41,yes,120.95
176,92,29,yes,85.55000000000001
356,200,27,yes,79.65
80,78,68,no,200.60000000000002
662,516,34,yes,100.30000000000001
512,46,83,yes,244.85000000000002
74,624,60,no,177.0
242,510,44,yes,129.8
82,304,75,no,221.25
698,352,54,yes,159.3
680,332,62,no,182.9
814,560,39,yes,115.05000000000001
214,496,63,no,185.85000000000002
532,58,60,yes,177.0
708,242,30,yes,88.5
202,430,64,no,188.8
282,328,64,no,188.8
592,454,93,no,274.35
52,292,62,no,182.9
156,336,35,yes,103.25
526,238,42,yes,123.9
636,652,36,yes,106.2
30,238,27,yes,79.65
262,654,39,yes,115.05000000000001
88,284,70,no,206.5
102,384,27,yes,79.65
466,292,35,yes,103.25
594,346,28,yes,82.60000000000001
180,250,64,no,188.8
286,10,53,yes,156.35000000000002
236,44,23,yes,67.85000000000001
672,188,29,yes,85.55000000000001
706,6,39,yes,115.05000000000001
508,468,42,yes,123.9
220,576,34,yes,100.30000000000001
720,516,59,no,174.05
386,14,49,yes,144.55
10,558,49,yes,144.55
128,256,25,yes,73.75
390,148,56,no,165.20000000000002
162,642,44,no,129.8
64,494,42,no,123.9
444,56,28,yes,82.60000000000001
556,300,27,yes,79.65
454,580,53,no,156.35000000000002
770,22,30,yes,88.5
604,256,56,no,165.20000000000002
766,604,34,no,100.30000000000001
168,506,32,yes,94.4
210,594,30,no,88.5
758,148,63,no,185.85000000000002
162,410,47,no,138.65
422,494,42,no,123.9
612,568,45,no,132.75
108,86,40,no,118.0
546,520,42,no,123.9
188,550,23,no,67.85000000000001
842,32,34,yes,100.30000000000001
