x,y,r (pixel),is_circle,r (um)
732,224,113,yes,113
706,230,143,no,143
694,436,136,no,136
682,228,136,no,136
716,198,94,no,94
566,150,97,no,97
486,502,75,yes,75
298,508,114,no,114
706,250,144,no,144
192,254,100,no,100
170,536,89,no,89
588,474,149,no,149
318,138,138,no,138
546,126,97,no,97
754,194,136,no,136
644,478,112,no,112
424,282,71,yes,71
214,90,74,no,74
292,372,99,no,99
332,520,62,yes,62
742,574,110,no,110
316,412,110,no,110
548,372,81,no,81
274,356,81,no,81
772,392,57,yes,57
142,428,112,no,112
344,542,87,no,87
178,558,67,yes,67
682,258,134,no,134
198,556,74,no,74
324,386,136,no,136
662,348,70,no,70
694,198,112,no,112
204,272,75,no,75
316,236,66,no,66
458,514,96,no,96
754,222,124,no,124
340,500,84,no,84
526,120,79,no,79
194,74,76,no,76
480,478,70,no,70
776,612,66,yes,66
646,442,90,no,90
120,412,87,no,87
302,124,71,no,71
528,350,72,yes,72
136,452,110,no,110
738,386,86,no,86
408,158,75,no,75
438,638,69,yes,69
612,490,84,no,84
310,484,110,no,110
508,506,97,no,97
724,516,77,no,77
110,164,65,yes,65
650,332,65,no,65
544,148,91,yes,91
344,356,113,no,113
168,248,105,no,105
680,376,104,no,104
314,540,68,no,68
176,216,101,no,101
778,592,73,no,73
748,242,101,no,101
568,126,96,no,96
616,460,72,yes,72
286,110,58,no,58
482,524,93,no,93
134,396,87,no,87
536,328,80,no,80
684,354,70,no,70
756,372,79,no,79
304,388,87,yes,87
450,474,84,no,84
174,274,80,no,80
418,302,67,no,67
318,506,79,no,79
86,140,67,no,67
658,578,58,no,58
102,390,80,no,80
150,530,69,no,69
154,566,67,no,67
410,268,62,no,62
630,424,92,no,92
658,376,71,no,71
422,182,66,no,66
518,248,49,yes,49
652,614,69,no,69
666,544,59,no,59
420,390,52,yes,52
452,494,82,no,82
686,540,67,no,67
712,462,60,no,60
38,530,54,yes,54
214,66,72,no,72
552,352,62,no,62
572,576,57,yes,57
782,368,57,no,57
230,462,54,no,54
644,560,32,no,32
676,614,58,no,58
502,482,80,no,80
768,350,67,no,67
678,60,59,no,59
500,226,61,no,61
84,162,70,no,70
176,92,66,no,66
218,252,83,no,83
364,508,81,no,81
588,546,57,no,57
760,624,62,no,62
726,478,47,yes,47
180,50,69,no,69
336,474,67,no,67
288,138,61,no,61
814,48,35,yes,35
442,298,67,no,67
710,550,59,no,59
26,282,58,no,58
426,52,54,yes,54
758,560,44,no,44
184,580,46,no,46
326,256,48,no,48
636,118,36,yes,36
686,564,44,no,44
754,476,30,no,30
644,540,49,no,49
166,66,56,no,56
400,286,54,no,54
800,634,49,no,49
322,338,61,no,61
742,506,44,no,44
636,642,41,no,41
196,100,60,no,60
414,628,59,no,59
302,222,57,no,57
558,542,40,no,40
510,108,60,no,60
702,272,53,no,53
638,360,49,no,49
540,390,51,no,51
132,636,47,no,47
580,262,36,no,36
228,524,30,no,30
674,488,29,no,29
266,486,22,no,22
494,352,50,no,50
764,76,28,yes,28
204,610,23,no,23
292,534,47,no,47
154,230,42,no,42
702,418,38,no,38
782,104,25,no,25
