index,x,y,r (pixel),is_circle,r (um),probability
13,676,34,207,yes,207,0.20588235294117646
15,610,440,213,yes,213,0.15946843853820597
9,324,138,177,yes,177,0.15492957746478872
1,260,416,116,yes,116,0.1448170731707317
17,634,458,224,no,224,0.13092161929371232
10,312,122,184,no,184,0.13071895424836602
12,598,422,192,no,192,0.12546125461254612
11,344,134,184,no,184,0.11280101394169835
19,622,420,233,no,233,0.09508460918614021
5,336,156,155,no,155,0.08789954337899543
3,246,396,140,no,140,0.08375634517766498
4,4,322,150,yes,150,0.07390300230946882
14,292,106,208,no,208,0.07365792759051186
0,228,380,61,no,61,0.06976744186046512
18,582,446,225,no,225,0.06761006289308176
7,610,400,162,no,162,0.06331877729257641
8,632,438,176,no,176,0.057459677419354836
16,614,464,218,no,218,0.04788961038961039
6,652,442,156,no,156,0.03977272727272727
2,358,156,126,no,126,0.037921348314606744
