x,y,r (pixel),is_circle,r (um),group
248,286,245,unmarked,722.75,0
288,454,230,unmarked,678.5,1
440,456,227,unmarked,669.6500000000001,2
378,450,233,unmarked,687.35,3
540,230,219,unmarked,646.0500000000001,4
364,258,203,unmarked,598.85,5
442,302,205,unmarked,604.75,6
240,262,242,unmarked,713.9000000000001,7
600,200,198,unmarked,584.1,8
466,358,205,unmarked,604.75,9
406,274,246,unmarked,725.7,10
266,450,234,unmarked,690.3000000000001,11
220,374,191,unmarked,563.45,12
466,450,205,unmarked,604.75,13
414,174,174,unmarked,513.3000000000001,14
228,236,212,unmarked,625.4000000000001,15
228,354,223,unmarked,657.85,16
570,522,161,unmarked,474.95000000000005,17
310,290,183,unmarked,539.85,18
494,450,181,unmarked,533.95,19
502,474,174,unmarked,513.3000000000001,20
632,358,142,unmarked,418.90000000000003,21
246,472,191,unmarked,563.45,22
240,492,190,unmarked,560.5,22
426,494,190,unmarked,560.5,23
494,430,178,unmarked,525.1,24
546,488,127,unmarked,374.65000000000003,25
538,514,126,unmarked,371.70000000000005,25
244,376,182,unmarked,536.9,26
602,174,172,unmarked,507.40000000000003,27
426,256,154,unmarked,454.3,28
454,254,154,unmarked,454.3,28
420,308,184,unmarked,542.8000000000001,29
664,312,175,unmarked,516.25,30
322,314,172,unmarked,507.40000000000003,31
612,276,144,unmarked,424.8,32
702,454,131,unmarked,386.45000000000005,33
394,404,197,unmarked,581.1500000000001,34
314,248,156,unmarked,460.20000000000005,35
210,188,187,unmarked,551.65,36
672,182,169,unmarked,498.55,37
456,506,164,unmarked,483.8,38
642,376,148,unmarked,436.6,39
162,228,158,unmarked,466.1,40
334,294,167,unmarked,492.65000000000003,41
538,426,132,unmarked,389.40000000000003,42
202,258,191,unmarked,563.45,43
404,144,186,unmarked,548.7,44
396,350,138,unmarked,407.1,45
134,370,132,unmarked,389.40000000000003,46
186,312,167,unmarked,492.65000000000003,47
198,286,164,unmarked,483.8,47
188,472,140,unmarked,413.0,48
210,326,199,unmarked,587.0500000000001,49
442,238,172,unmarked,507.40000000000003,50
708,362,126,unmarked,371.70000000000005,51
464,380,133,unmarked,392.35,52
692,282,160,unmarked,472.0,53
664,344,156,unmarked,460.20000000000005,54
696,384,146,unmarked,430.70000000000005,55
488,496,157,unmarked,463.15000000000003,56
688,338,146,unmarked,430.70000000000005,57
616,214,135,unmarked,398.25,58
504,322,126,unmarked,371.70000000000005,59
350,192,179,unmarked,528.0500000000001,60
246,206,157,unmarked,463.15000000000003,61
538,294,153,unmarked,451.35,62
198,556,147,unmarked,433.65000000000003,63
450,484,146,unmarked,430.70000000000005,64
474,432,158,unmarked,466.1,65
148,142,143,unmarked,421.85,66
682,424,154,unmarked,454.3,67
284,342,132,unmarked,389.40000000000003,68
486,554,130,unmarked,383.5,69
472,522,106,unmarked,312.70000000000005,70
428,550,134,unmarked,395.3,71
384,326,124,unmarked,365.8,72
144,168,167,unmarked,492.65000000000003,73
624,156,152,unmarked,448.40000000000003,74
228,290,150,unmarked,442.5,75
262,540,144,unmarked,424.8,76
192,520,127,unmarked,374.65000000000003,77
710,342,122,unmarked,359.90000000000003,78
630,70,65,unmarked,191.75,79
678,370,125,unmarked,368.75,80
668,284,109,unmarked,321.55,81
512,550,134,unmarked,395.3,82
638,196,62,unmarked,182.9,83
628,516,102,unmarked,300.90000000000003,84
666,208,89,unmarked,262.55,85
796,192,61,unmarked,179.95000000000002,86
616,102,143,unmarked,421.85,87
450,190,121,unmarked,356.95000000000005,88
466,280,134,unmarked,395.3,89
498,410,93,unmarked,274.35,90
400,192,136,unmarked,401.20000000000005,91
680,454,109,unmarked,321.55,92
298,176,127,unmarked,374.65000000000003,93
722,420,94,unmarked,277.3,94
738,432,94,unmarked,277.3,94
738,330,91,unmarked,268.45,95
234,184,59,unmarked,174.05,96
462,586,98,unmarked,289.1,97
272,508,61,unmarked,179.95000000000002,98
244,314,144,unmarked,424.8,99
690,262,140,unmarked,413.0,100
630,124,124,unmarked,365.8,101
640,104,121,unmarked,356.95000000000005,102
590,80,106,unmarked,312.70000000000005,103
384,136,123,unmarked,362.85,104
486,262,105,unmarked,309.75,105
510,604,66,unmarked,194.70000000000002,106
130,562,99,unmarked,292.05,107
156,532,109,unmarked,321.55,108
184,596,103,unmarked,303.85,109
370,592,91,unmarked,268.45,110
344,382,84,unmarked,247.8,111
696,498,104,unmarked,306.8,112
224,408,46,unmarked,135.70000000000002,113
782,78,40,unmarked,118.0,114
554,214,126,unmarked,371.70000000000005,115
738,296,116,unmarked,342.20000000000005,116
690,556,52,unmarked,153.4,117
336,564,112,unmarked,330.40000000000003,118
124,436,91,unmarked,268.45,119
702,322,69,unmarked,203.55,120
144,210,124,unmarked,365.8,121
322,622,62,unmarked,182.9,122
406,562,41,unmarked,120.95,123
172,572,57,unmarked,168.15,124
528,340,44,unmarked,129.8,125
644,146,118,unmarked,348.1,126
490,602,62,unmarked,182.9,127
602,442,96,unmarked,283.20000000000005,128
736,88,87,unmarked,256.65000000000003,129
294,514,81,unmarked,238.95000000000002,130
100,370,91,unmarked,268.45,131
766,192,84,unmarked,247.8,132
362,436,56,unmarked,165.20000000000002,133
314,114,112,unmarked,330.40000000000003,134
692,406,103,unmarked,303.85,135
720,308,94,unmarked,277.3,136
658,82,91,unmarked,268.45,137
368,392,89,unmarked,262.55,138
496,104,89,unmarked,262.55,139
522,62,44,unmarked,129.8,140
364,230,100,unmarked,295.0,141
304,484,91,unmarked,268.45,142
88,348,87,unmarked,256.65000000000003,143
244,514,87,unmarked,256.65000000000003,144
64,342,62,unmarked,182.9,145
594,56,111,unmarked,327.45000000000005,146
120,308,104,unmarked,306.8,147
842,316,66,unmarked,194.70000000000002,148
718,126,42,unmarked,123.9,149
556,138,39,unmarked,115.05000000000001,150
312,580,103,unmarked,303.85,151
102,108,101,unmarked,297.95000000000005,152
586,462,92,unmarked,271.40000000000003,153
658,546,77,unmarked,227.15,154
380,190,59,unmarked,174.05,155
554,310,81,unmarked,238.95000000000002,156
624,394,40,unmarked,118.0,157
160,102,111,unmarked,327.45000000000005,158
110,162,104,unmarked,306.8,159
698,520,88,unmarked,259.6,160
308,606,80,unmarked,236.0,161
144,582,91,unmarked,268.45,162
600,482,69,unmarked,203.55,163
712,558,63,unmarked,185.85000000000002,164
438,278,60,unmarked,177.0,165
142,300,95,unmarked,280.25,166
778,392,38,unmarked,112.10000000000001,167
142,546,91,unmarked,268.45,168
668,566,89,unmarked,262.55,169
650,220,87,unmarked,256.65000000000003,170
726,452,71,unmarked,209.45000000000002,171
244,164,86,unmarked,253.70000000000002,172
798,574,54,unmarked,159.3,173
788,152,106,unmarked,312.70000000000005,174
434,134,83,unmarked,244.85000000000002,175
558,420,48,unmarked,141.60000000000002,176
610,72,85,unmarked,250.75000000000003,177
716,532,79,unmarked,233.05,178
456,90,89,unmarked,262.55,179
652,182,80,unmarked,236.0,180
384,572,66,unmarked,194.70000000000002,181
592,594,37,unmarked,109.15,182
462,606,90,unmarked,265.5,183
712,278,81,unmarked,238.95000000000002,184
492,582,65,unmarked,191.75,185
472,482,54,unmarked,159.3,186
134,250,44,unmarked,129.8,187
300,366,37,unmarked,109.15,188
480,90,88,unmarked,259.6,189
336,606,69,unmarked,203.55,190
138,484,67,unmarked,197.65,191
224,66,64,unmarked,188.8,192
148,458,63,unmarked,185.85000000000002,193
126,146,60,unmarked,177.0,194
734,652,51,unmarked,150.45000000000002,195
470,136,47,unmarked,138.65,196
634,234,96,unmarked,283.20000000000005,197
656,50,94,unmarked,277.3,198
444,114,82,unmarked,241.9,199
190,402,80,unmarked,236.0,200
506,214,73,unmarked,215.35000000000002,201
668,158,106,unmarked,312.70000000000005,202
494,134,96,unmarked,283.20000000000005,203
526,584,86,unmarked,253.70000000000002,204
342,434,80,unmarked,236.0,205
684,312,72,unmarked,212.4,206
842,478,70,unmarked,206.5,207
534,212,60,unmarked,177.0,208
164,600,91,unmarked,268.45,209
256,182,71,unmarked,209.45000000000002,210
282,480,87,unmarked,256.65000000000003,211
342,170,84,unmarked,247.8,212
634,50,82,unmarked,241.9,213
94,320,72,unmarked,212.4,214
178,552,56,unmarked,165.20000000000002,215
