x,y,r (pixel),is_circle,r (um)
604,324,79,yes,79
398,464,67,yes,67
308,116,97,yes,97
702,72,85,yes,85
550,162,67,yes,67
416,282,101,yes,101
60,218,90,yes,90
214,446,53,yes,53
388,280,158,no,158
518,434,48,yes,48
286,144,138,no,138
750,368,68,yes,68
576,336,138,no,138
60,410,41,yes,41
328,116,116,no,116
412,324,142,no,142
588,356,121,no,121
308,380,52,yes,52
286,124,138,no,138
184,330,64,yes,64
306,92,84,no,84
438,258,110,no,110
402,262,144,no,144
396,302,142,no,142
436,282,118,no,118
622,304,83,no,83
786,466,41,yes,41
310,138,145,no,145
460,278,117,no,117
344,152,152,no,152
530,152,96,no,96
696,220,60,yes,60
288,262,40,yes,40
230,332,133,no,133
158,326,89,no,89
200,316,80,no,80
202,350,107,no,107
332,136,126,no,126
612,344,113,no,113
444,304,111,no,111
722,358,96,no,96
464,298,110,no,110
704,50,124,no,124
170,350,88,no,88
586,310,72,no,72
652,430,44,yes,44
574,134,88,no,88
210,212,43,yes,43
572,158,80,no,80
284,104,124,no,124
726,48,120,no,120
360,136,145,no,145
684,62,105,no,105
412,446,73,no,73
628,326,90,no,90
422,428,80,no,80
462,256,91,no,91
530,174,90,no,90
538,402,87,no,87
174,310,86,no,86
418,302,82,no,82
442,108,44,yes,44
334,374,95,no,95
772,368,86,no,86
644,308,98,no,98
674,538,23,yes,23
328,94,89,no,89
496,416,82,no,82
72,338,42,yes,42
168,134,34,yes,34
550,140,75,no,75
132,410,38,yes,38
724,68,105,no,105
590,148,85,no,85
822,30,43,yes,43
92,324,56,no,56
422,464,74,no,74
220,306,73,no,73
588,458,29,yes,29
48,186,116,no,116
302,244,65,no,65
714,200,68,no,68
236,430,51,no,51
92,232,88,no,88
760,348,62,no,62
624,596,18,yes,18
616,284,77,no,77
286,366,64,no,64
538,422,54,no,54
432,448,67,no,67
226,192,48,no,48
72,200,64,no,64
674,418,52,no,52
562,180,55,no,55
552,558,18,yes,18
684,82,67,no,67
76,396,36,no,36
732,378,44,no,44
660,398,55,no,55
208,426,53,no,53
318,362,45,no,45
596,438,36,no,36
304,400,45,no,45
458,376,24,yes,24
518,232,34,no,34
428,344,15,yes,15
180,632,13,yes,13
104,18,74,no,74
496,298,44,no,44
462,634,16,yes,16
266,92,52,no,52
252,370,24,no,24
