x,y,r (pixel),is_circle,r (um)
402,358,298,no,298
412,384,315,yes,315
378,366,322,no,322
438,382,305,no,305
420,344,275,no,275
360,380,344,no,344
438,418,340,no,340
430,362,330,no,330
438,332,255,no,255
462,362,361,no,361
474,380,378,no,378
434,470,392,no,392
388,390,335,no,335
342,390,365,no,365
452,398,351,no,351
398,416,350,no,350
500,400,398,no,398
422,402,334,no,334
434,492,414,no,414
406,320,374,no,374
434,440,362,no,362
322,380,379,no,379
474,408,375,no,375
394,338,300,no,300
526,428,426,no,426
466,342,340,no,340
454,318,246,no,246
388,438,373,no,373
358,340,326,no,326
812,100,184,yes,184
414,464,390,no,390
430,522,443,no,443
534,396,429,no,429
416,300,390,no,390
372,322,360,no,360
414,432,365,no,365
366,400,359,no,359
540,342,341,no,341
476,526,464,no,464
538,450,450,no,450
506,366,317,no,317
424,278,199,no,199
454,454,376,no,376
434,310,233,no,233
586,470,448,no,448
482,358,297,no,297
462,542,475,no,475
464,490,427,no,427
502,424,406,no,406
568,422,394,no,394
394,284,340,no,340
382,302,372,no,372
438,540,462,no,462
454,430,354,no,354
454,520,461,no,461
352,360,254,no,254
474,298,269,no,269
480,430,393,no,393
482,328,326,no,326
554,404,377,no,377
566,452,420,no,420
852,554,160,no,160
446,292,222,no,222
512,342,305,no,305
832,570,179,yes,179
528,324,322,no,322
98,48,148,no,148
506,316,284,no,284
582,354,330,no,330
838,98,210,no,210
364,286,321,no,321
816,78,204,no,204
824,548,135,no,135
376,256,327,no,327
300,380,208,no,208
600,436,247,no,247
84,24,173,yes,173
414,250,170,no,170
502,240,239,no,239
558,320,318,no,318
336,346,256,no,256
318,400,285,no,285
98,76,125,no,125
350,314,232,no,232
474,456,231,no,231
632,352,332,no,332
504,530,154,no,154
834,596,206,no,206
494,470,208,no,208
336,296,212,no,212
486,492,188,no,188
510,482,189,no,189
276,380,185,no,185
404,232,150,no,150
78,60,172,no,172
116,64,126,no,126
784,530,154,no,154
524,542,134,no,134
286,354,189,no,189
526,516,151,no,151
324,222,146,no,146
808,534,140,no,140
110,94,103,no,103
806,564,163,no,163
516,570,114,no,114
350,270,195,no,195
492,580,105,no,105
510,444,228,no,228
612,400,228,no,228
506,504,176,no,176
532,488,170,no,170
334,184,142,no,142
488,546,138,no,138
348,246,122,no,122
818,482,84,no,84
382,212,121,no,121
816,150,105,no,105
768,592,118,no,118
792,608,76,no,76
786,552,97,no,97
558,472,179,no,179
794,588,96,no,96
346,152,83,no,83
66,240,52,no,52
