x,y,r (pixel),is_circle,r (um)
396,160,95,yes,95
608,414,72,yes,72
224,576,72,yes,72
112,498,69,yes,69
154,348,83,yes,83
186,338,125,no,125
664,176,111,no,111
558,560,77,yes,77
410,432,126,no,126
356,452,68,yes,68
228,214,86,no,86
544,230,83,no,83
198,50,92,yes,92
726,202,103,no,103
442,140,123,no,123
702,544,69,yes,69
750,420,67,yes,67
370,154,122,no,122
408,134,113,no,113
422,326,86,no,86
482,448,58,yes,58
688,316,54,yes,54
642,400,116,no,116
418,162,89,no,89
628,428,81,no,81
254,584,129,no,129
616,388,123,no,123
620,72,71,no,71
562,220,63,no,63
572,242,83,no,83
444,328,96,no,96
204,220,112,no,112
574,416,110,no,110
586,574,108,no,108
540,208,105,no,105
142,364,103,no,103
588,554,91,no,91
142,332,101,no,101
244,564,118,no,118
558,582,103,no,103
398,304,121,no,121
322,448,103,no,103
664,206,116,no,116
464,310,101,no,101
736,524,89,no,89
160,384,121,no,121
686,168,95,no,95
526,578,92,no,92
718,182,83,no,83
52,120,75,yes,75
382,176,118,no,118
408,344,107,no,107
264,212,80,no,80
444,296,99,no,99
774,668,58,yes,58
636,100,78,no,78
246,452,58,no,58
848,294,107,yes,107
196,360,99,no,99
462,536,72,no,72
68,250,50,yes,50
758,82,46,yes,46
382,134,116,no,116
226,180,106,no,106
268,558,99,no,99
286,338,68,no,68
424,112,111,no,111
494,470,83,no,83
648,72,67,no,67
572,536,89,no,89
134,192,37,yes,37
432,182,113,no,113
138,506,95,no,95
170,324,80,no,80
534,110,42,yes,42
90,486,86,no,86
432,544,53,yes,53
338,552,41,yes,41
84,130,82,no,82
540,334,37,yes,37
96,112,91,no,91
240,604,80,no,80
172,366,68,no,68
320,332,68,no,68
400,636,46,yes,46
808,152,38,yes,38
448,32,37,yes,37
666,320,76,no,76
158,480,89,no,89
600,82,81,no,81
252,196,63,no,63
662,652,50,yes,50
734,560,88,no,88
706,324,63,no,63
206,568,89,no,89
770,426,74,no,74
136,486,71,no,71
450,554,62,no,62
722,412,89,no,89
748,188,56,no,56
306,352,44,no,44
722,540,64,no,64
216,68,63,no,63
550,96,61,no,61
316,656,42,yes,42
344,254,34,yes,34
676,552,76,no,76
428,626,61,no,61
248,540,85,no,85
402,184,63,no,63
340,12,63,yes,63
116,592,37,yes,37
700,12,37,yes,37
602,62,60,no,60
680,190,58,no,58
50,652,53,yes,53
712,566,52,no,52
718,156,61,no,61
176,46,71,no,71
272,184,66,no,66
598,434,61,no,61
562,602,70,no,70
632,492,27,yes,27
436,348,57,no,57
60,158,44,no,44
742,168,56,no,56
558,256,54,no,54
528,546,20,no,20
626,540,62,no,62
418,562,59,no,59
734,86,44,no,44
370,480,36,no,36
588,138,27,no,27
836,564,66,yes,66
762,398,59,no,59
304,114,15,yes,15
206,188,44,no,44
270,442,52,no,52
336,464,47,no,47
388,442,36,no,36
270,234,32,no,32
482,614,28,yes,28
320,406,51,no,51
506,450,34,no,34
710,516,39,no,39
236,246,36,no,36
390,472,31,no,31
206,340,50,no,50
62,634,34,no,34
522,466,17,no,17
24,38,17,yes,17
778,78,33,no,33
522,228,32,no,32
412,654,29,no,29
322,252,27,no,27
580,208,46,no,46
596,262,22,no,22
64,438,14,yes,14
218,48,42,no,42
198,320,34,no,34
726,296,34,no,34
122,354,34,no,34
466,188,17,no,17
