index,x,y,r (pixel),is_circle,r (um),probability
3,836,94,13,yes,13,0.5972222222222222
54,548,142,33,yes,33,0.5
14,786,178,17,yes,17,0.4895833333333333
13,410,290,17,yes,17,0.4895833333333333
50,84,216,30,yes,30,0.4880952380952381
30,634,380,24,yes,24,0.48484848484848486
57,202,188,35,yes,35,0.4846938775510204
47,818,138,29,yes,29,0.4695121951219512
9,710,162,16,yes,16,0.4659090909090909
43,582,460,28,yes,28,0.46153846153846156
39,588,520,27,yes,27,0.4407894736842105
2,446,390,12,yes,12,0.4375
18,236,346,18,yes,18,0.43
62,698,640,40,yes,40,0.42857142857142855
56,486,148,34,yes,34,0.421875
7,508,502,16,yes,16,0.42045454545454547
68,486,590,44,yes,44,0.4153225806451613
46,164,290,29,yes,29,0.4146341463414634
34,398,534,25,yes,25,0.40714285714285714
11,516,466,17,yes,17,0.40625
12,642,436,17,yes,17,0.40625
16,122,134,18,yes,18,0.4
94,778,438,65,yes,65,0.3956043956043956
19,462,282,19,yes,19,0.3942307692307692
66,252,408,42,yes,42,0.3940677966101695
48,478,490,29,no,29,0.3902439024390244
20,422,168,21,yes,21,0.3879310344827586
80,124,650,49,yes,49,0.3827751196172249
64,54,152,40,yes,40,0.3705357142857143
79,82,306,49,yes,49,0.36594202898550726
75,688,58,46,yes,46,0.36538461538461536
33,420,338,25,yes,25,0.36428571428571427
8,156,514,16,yes,16,0.36363636363636365
92,684,548,61,yes,61,0.3633720930232558
38,274,534,26,yes,26,0.3611111111111111
24,292,490,22,yes,22,0.3467741935483871
83,652,166,53,yes,53,0.34459459459459457
32,178,462,25,yes,25,0.34285714285714286
37,432,630,25,yes,25,0.34285714285714286
87,534,320,55,yes,55,0.33116883116883117
59,312,326,36,yes,36,0.33
41,632,480,27,yes,27,0.32894736842105265
63,336,534,40,yes,40,0.32142857142857145
17,78,556,18,yes,18,0.32
26,376,202,23,yes,23,0.3125
15,778,140,17,yes,17,0.3125
51,32,240,30,yes,30,0.30952380952380953
40,450,530,27,yes,27,0.3092105263157895
6,428,484,16,yes,16,0.3068181818181818
42,432,426,28,yes,28,0.30128205128205127
44,302,264,28,yes,28,0.30128205128205127
22,530,530,21,yes,21,0.29310344827586204
36,376,150,25,yes,25,0.2857142857142857
1,38,602,12,yes,12,0.28125
60,244,296,37,yes,37,0.27403846153846156
29,382,640,23,yes,23,0.2734375
65,306,638,41,yes,41,0.2719298245614035
70,522,412,44,yes,44,0.2701612903225806
72,500,676,44,yes,44,0.26573426573426573
45,824,220,29,yes,29,0.26174496644295303
5,532,492,16,yes,16,0.26136363636363635
25,254,168,22,yes,22,0.25806451612903225
84,84,50,53,yes,53,0.24719101123595505
85,182,102,54,yes,54,0.24671052631578946
28,784,16,23,yes,23,0.2268041237113402
27,340,472,23,yes,23,0.2265625
71,706,620,44,no,44,0.2217741935483871
73,348,514,44,no,44,0.2217741935483871
53,314,170,31,yes,31,0.21511627906976744
91,666,144,60,no,60,0.20535714285714285
35,514,222,25,yes,25,0.2
55,598,636,33,yes,33,0.19021739130434784
21,630,48,21,yes,21,0.1896551724137931
88,502,560,56,no,56,0.18670886075949367
74,778,590,46,yes,46,0.18461538461538463
82,98,450,53,yes,53,0.17905405405405406
49,418,580,29,yes,29,0.17682926829268292
78,350,380,48,no,48,0.17164179104477612
4,248,668,13,yes,13,0.16666666666666666
86,324,100,54,yes,54,0.1611842105263158
89,698,532,57,no,57,0.159375
61,196,544,39,yes,39,0.1590909090909091
67,758,428,42,no,42,0.15677966101694915
0,410,228,12,yes,12,0.15625
81,540,396,50,no,50,0.15357142857142858
58,322,622,35,no,35,0.14795918367346939
77,98,296,48,no,48,0.1455223880597015
76,112,432,48,no,48,0.13805970149253732
90,472,572,58,no,58,0.13719512195121952
31,534,430,24,no,24,0.13636363636363635
52,30,408,30,no,30,0.13095238095238096
95,204,112,93,no,93,0.12213740458015267
23,480,426,21,no,21,0.11206896551724138
93,788,420,62,no,62,0.10344827586206896
10,464,322,16,yes,16,0.10227272727272728
69,336,398,44,yes,44,0.06451612903225806
