x,y,r (pixel),is_circle,r (um)
450,282,53,yes,156.35000000000002
232,442,99,no,292.05
356,348,60,yes,177.0
790,314,52,yes,153.4
356,238,50,yes,147.5
610,466,46,yes,135.70000000000002
684,410,51,yes,150.45000000000002
426,184,40,yes,118.0
516,156,95,no,280.25
432,602,55,yes,162.25
80,424,52,yes,153.4
358,78,47,yes,138.65
542,600,51,yes,150.45000000000002
162,540,44,yes,129.8
580,82,42,yes,123.9
132,76,43,yes,126.85000000000001
178,132,32,yes,94.4
536,124,99,no,292.05
742,486,48,yes,141.60000000000002
758,94,42,yes,123.9
542,308,41,yes,120.95
582,598,85,no,250.75000000000003
802,152,32,yes,94.4
344,328,77,no,227.15
604,258,40,yes,118.0
328,156,39,yes,115.05000000000001
380,360,84,no,247.8
98,438,76,no,224.20000000000002
208,342,38,yes,112.10000000000001
648,196,34,yes,100.30000000000001
182,634,52,yes,153.4
440,492,48,yes,141.60000000000002
312,452,55,yes,162.25
68,142,49,yes,144.55
784,574,50,yes,147.5
294,426,84,no,247.8
330,240,75,no,221.25
114,328,70,no,206.5
718,172,39,yes,115.05000000000001
466,262,82,no,241.9
242,558,48,yes,141.60000000000002
278,86,36,yes,106.2
440,162,88,no,259.6
672,612,72,no,212.4
562,390,46,yes,135.70000000000002
814,440,36,yes,106.2
762,302,81,no,238.95000000000002
558,80,77,no,227.15
250,158,40,yes,118.0
436,108,40,yes,118.0
330,218,75,no,221.25
628,338,39,yes,115.05000000000001
90,630,38,yes,112.10000000000001
702,324,34,yes,100.30000000000001
136,344,50,no,147.5
650,404,84,no,247.8
356,522,46,no,135.70000000000002
472,378,43,yes,126.85000000000001
648,120,40,yes,118.0
644,52,29,yes,85.55000000000001
406,596,82,no,241.9
88,144,70,no,206.5
318,586,32,yes,94.4
500,90,28,yes,82.60000000000001
64,210,58,no,171.10000000000002
336,360,80,no,236.0
372,208,84,no,247.8
666,94,62,no,182.9
224,466,46,no,135.70000000000002
420,484,85,no,250.75000000000003
520,592,68,no,200.60000000000002
552,150,62,no,182.9
578,464,77,no,227.15
784,4,48,yes,141.60000000000002
182,418,44,no,129.8
764,574,70,no,206.5
716,252,41,yes,120.95
164,406,54,no,159.3
240,490,50,no,147.5
84,218,38,yes,112.10000000000001
356,648,34,yes,100.30000000000001
406,418,32,yes,94.4
564,608,76,no,224.20000000000002
110,354,66,no,194.70000000000002
334,456,60,no,177.0
274,234,35,yes,103.25
764,392,34,yes,100.30000000000001
548,372,62,no,182.9
54,338,42,no,123.9
476,26,37,yes,109.15
636,592,33,yes,97.35000000000001
272,342,29,yes,85.55000000000001
586,196,27,yes,79.65
28,560,46,no,135.70000000000002
668,528,40,yes,118.0
212,76,33,yes,97.35000000000001
90,500,32,yes,94.4
536,232,30,yes,88.5
164,642,76,no,224.20000000000002
372,324,68,no,200.60000000000002
70,8,51,yes,150.45000000000002
698,148,70,no,206.5
740,106,62,no,182.9
710,232,62,no,182.9
214,284,55,no,162.25
612,324,49,no,144.55
146,524,50,no,147.5
260,398,48,no,141.60000000000002
192,202,31,yes,91.45
262,286,41,no,120.95
510,444,34,yes,100.30000000000001
776,212,33,yes,97.35000000000001
174,284,25,yes,73.75
62,412,62,no,182.9
144,324,50,no,147.5
628,650,34,yes,100.30000000000001
492,386,64,no,188.8
628,178,53,no,156.35000000000002
700,572,48,no,141.60000000000002
530,508,41,no,120.95
136,178,31,yes,91.45
230,158,53,no,156.35000000000002
764,554,60,no,177.0
258,68,58,no,171.10000000000002
176,522,53,no,156.35000000000002
252,16,40,yes,118.0
732,468,53,no,156.35000000000002
54,124,51,no,150.45000000000002
142,232,31,yes,91.45
148,470,40,no,118.0
656,276,30,no,88.5
488,544,25,yes,73.75
60,318,48,no,141.60000000000002
486,208,30,yes,88.5
420,46,23,yes,67.85000000000001
72,72,22,yes,64.9
636,104,46,no,135.70000000000002
164,428,46,no,135.70000000000002
756,468,54,no,159.3
694,388,54,no,159.3
800,424,42,no,123.9
596,538,33,yes,97.35000000000001
96,560,32,yes,94.4
110,274,27,yes,79.65
518,308,48,no,141.60000000000002
240,284,40,no,118.0
56,270,29,yes,85.55000000000001
300,518,22,yes,64.9
98,602,48,no,141.60000000000002
104,516,46,no,135.70000000000002
238,396,39,no,115.05000000000001
684,306,38,no,112.10000000000001
32,188,23,yes,67.85000000000001
470,290,54,no,159.3
6,68,47,yes,138.65
592,238,36,no,106.2
694,68,26,yes,76.7
724,132,52,no,153.4
196,62,43,no,126.85000000000001
226,334,43,no,126.85000000000001
312,140,46,no,135.70000000000002
520,564,46,no,135.70000000000002
254,130,43,no,126.85000000000001
264,214,38,no,112.10000000000001
618,152,27,no,79.65
654,176,40,no,118.0
276,656,36,yes,106.2
684,630,33,yes,97.35000000000001
670,392,44,no,129.8
434,86,40,no,118.0
202,242,38,no,112.10000000000001
526,48,23,yes,67.85000000000001
730,230,43,no,126.85000000000001
38,322,42,no,123.9
220,252,33,no,97.35000000000001
754,654,31,no,91.45
472,148,20,yes,59.0
638,320,42,no,123.9
838,648,38,yes,112.10000000000001
300,284,23,yes,67.85000000000001
416,108,52,no,153.4
258,578,47,no,138.65
526,282,40,no,118.0
452,508,48,no,141.60000000000002
842,374,31,yes,91.45
728,40,22,yes,64.9
226,230,29,no,85.55000000000001
334,80,40,no,118.0
650,516,40,no,118.0
216,312,37,no,109.15
746,372,36,no,106.2
518,490,33,no,97.35000000000001
666,238,18,yes,53.1
304,194,14,yes,41.300000000000004
800,498,31,no,91.45
92,302,23,no,67.85000000000001
10,240,39,no,115.05000000000001
598,450,32,no,94.4
192,170,27,no,79.65
236,198,20,yes,59.0
592,24,18,yes,53.1
780,90,39,no,115.05000000000001
368,542,34,no,100.30000000000001
318,22,22,yes,64.9
310,114,14,no,41.300000000000004
148,366,21,no,61.95
22,286,21,yes,61.95
138,268,19,no,56.050000000000004
