x,y,r (pixel),is_circle,r (um)
698,240,48,yes,141.60000000000002
236,196,54,yes,159.3
166,322,55,yes,162.25
360,468,40,yes,118.0
650,146,57,yes,168.15
250,294,37,yes,109.15
328,380,41,yes,120.95
140,42,40,yes,118.0
120,232,47,yes,138.65
376,56,44,yes,129.8
578,670,74,yes,218.3
734,646,53,yes,156.35000000000002
222,50,39,yes,115.05000000000001
426,248,34,yes,100.30000000000001
756,182,35,yes,103.25
816,238,47,yes,138.65
760,296,35,yes,103.25
310,254,34,yes,100.30000000000001
112,212,60,no,177.0
470,468,29,yes,85.55000000000001
566,492,32,yes,94.4
362,562,32,yes,94.4
678,26,44,yes,129.8
412,396,24,yes,70.80000000000001
242,522,27,yes,79.65
164,124,39,yes,115.05000000000001
806,598,23,yes,67.85000000000001
736,122,32,yes,94.4
498,556,21,yes,61.95
134,212,61,no,179.95000000000002
510,510,30,yes,88.5
478,644,22,yes,64.9
666,128,74,no,218.3
682,590,24,yes,70.80000000000001
742,568,26,yes,76.7
536,580,25,yes,73.75
652,610,15,yes,44.25
568,30,29,yes,85.55000000000001
82,136,21,yes,61.95
582,568,20,yes,59.0
836,328,29,yes,85.55000000000001
182,308,54,no,159.3
742,482,15,yes,44.25
92,322,19,yes,56.050000000000004
182,250,18,yes,53.1
164,176,18,yes,53.1
296,680,26,yes,76.7
840,152,36,yes,106.2
626,584,17,yes,50.150000000000006
36,258,16,yes,47.2
442,18,25,no,73.75
482,594,14,yes,41.300000000000004
120,156,20,yes,59.0
660,76,16,yes,47.2
616,484,17,yes,50.150000000000006
