x,y,r (pixel),is_circle,r (um)
558,204,38,yes,112.10000000000001
280,132,50,yes,147.5
632,226,40,yes,118.0
484,206,38,yes,112.10000000000001
508,324,32,yes,94.4
716,350,37,yes,109.15
192,546,44,yes,129.8
316,52,44,yes,129.8
662,142,52,yes,153.4
406,552,44,yes,129.8
428,154,39,yes,115.05000000000001
30,142,42,yes,123.9
198,118,40,yes,118.0
782,230,51,yes,150.45000000000002
270,544,35,yes,103.25
366,120,33,yes,97.35000000000001
450,290,38,yes,112.10000000000001
336,414,37,yes,109.15
118,382,27,yes,79.65
60,74,33,yes,97.35000000000001
358,198,45,yes,132.75
510,644,36,yes,106.2
564,68,27,yes,79.65
216,190,35,yes,103.25
362,336,38,yes,112.10000000000001
284,462,38,yes,112.10000000000001
598,392,36,yes,106.2
568,606,34,yes,100.30000000000001
754,416,49,yes,144.55
100,126,30,yes,88.5
576,280,40,yes,118.0
360,482,42,yes,123.9
376,266,38,yes,112.10000000000001
390,60,33,yes,97.35000000000001
50,272,25,yes,73.75
278,390,40,yes,118.0
436,472,38,yes,112.10000000000001
464,596,32,yes,94.4
250,238,27,yes,79.65
400,428,22,yes,64.9
328,578,37,yes,109.15
58,504,32,yes,94.4
150,224,26,yes,76.7
748,508,39,yes,115.05000000000001
656,364,28,yes,82.60000000000001
166,382,23,yes,67.85000000000001
658,300,39,yes,115.05000000000001
702,208,34,yes,100.30000000000001
60,390,26,yes,76.7
304,252,36,yes,106.2
258,302,32,yes,94.4
720,272,28,yes,82.60000000000001
504,480,27,yes,79.65
92,448,32,yes,94.4
266,606,27,yes,79.65
650,560,27,yes,79.65
102,648,24,yes,70.80000000000001
806,294,27,yes,79.65
20,444,38,yes,112.10000000000001
798,56,32,yes,94.4
646,36,29,yes,85.55000000000001
574,132,38,yes,112.10000000000001
670,500,36,yes,106.2
136,596,30,yes,88.5
676,418,34,yes,100.30000000000001
240,58,33,yes,97.35000000000001
70,564,28,yes,82.60000000000001
740,164,28,yes,82.60000000000001
632,636,32,yes,94.4
516,572,30,yes,88.5
308,328,21,yes,61.95
610,76,29,yes,85.55000000000001
236,494,18,yes,53.1
6,376,29,yes,85.55000000000001
610,332,23,yes,67.85000000000001
