x,y,r (pixel),is_circle,r (um)
516,258,56,yes,56
642,302,54,yes,54
400,62,39,yes,39
680,448,53,yes,53
628,116,70,yes,70
604,528,59,no,59
276,608,56,yes,56
454,162,48,yes,48
714,548,54,yes,54
628,546,80,no,80
488,356,99,no,99
770,308,54,yes,54
320,592,99,no,99
214,128,49,yes,49
514,484,55,yes,55
360,550,48,yes,48
258,594,95,no,95
72,180,51,yes,51
362,144,48,yes,48
684,206,42,yes,42
252,614,81,no,81
428,240,38,yes,38
460,594,90,no,90
508,66,66,yes,66
776,48,53,yes,53
648,112,64,no,64
354,330,77,no,77
632,636,63,yes,63
310,344,49,yes,49
184,46,42,yes,42
482,600,74,no,74
490,476,78,no,78
280,494,49,yes,49
130,108,42,yes,42
400,320,46,yes,46
380,460,42,yes,42
94,638,81,no,81
766,408,52,no,52
116,530,33,yes,33
804,494,46,yes,46
538,162,42,yes,42
166,396,38,yes,38
762,216,37,yes,37
334,244,55,yes,55
526,74,72,no,72
398,476,69,no,69
110,338,47,yes,47
412,388,29,yes,29
492,386,76,no,76
464,356,78,no,78
622,304,68,no,68
584,366,37,yes,37
622,282,75,no,75
726,138,37,yes,37
512,382,73,no,73
96,612,71,no,71
204,330,46,no,46
444,608,70,no,70
742,542,62,no,62
82,34,50,yes,50
752,644,44,yes,44
608,212,36,yes,36
286,50,81,no,81
228,228,55,yes,55
448,574,54,no,54
702,362,39,yes,39
518,356,73,no,73
56,276,41,yes,41
180,482,51,yes,51
380,626,32,no,32
434,506,28,no,28
280,632,46,no,46
252,412,36,no,36
76,408,34,yes,34
180,568,38,yes,38
102,590,62,no,62
138,252,43,yes,43
590,436,39,yes,39
526,502,34,no,34
730,654,66,no,66
614,94,60,no,60
76,464,52,no,52
158,178,33,yes,33
310,42,58,yes,58
212,312,54,no,54
238,530,32,no,32
718,528,37,no,37
544,646,33,no,33
124,438,26,yes,26
396,526,29,no,29
614,624,58,no,58
230,400,54,no,54
714,80,24,yes,24
780,330,32,no,32
842,586,46,yes,46
20,534,43,yes,43
292,132,27,yes,27
830,328,20,yes,20
276,282,28,yes,28
742,468,22,yes,22
318,424,33,yes,33
80,152,46,no,46
460,282,19,yes,19
544,566,32,no,32
416,614,41,no,41
296,182,28,yes,28
444,424,25,yes,25
654,644,34,no,34
326,362,28,no,28
74,600,42,no,42
348,262,33,no,33
552,462,34,no,34
524,566,31,no,31
198,116,48,no,48
84,488,21,no,21
530,274,33,no,33
714,190,25,no,25
350,402,27,no,27
178,460,39,no,39
120,380,32,no,32
780,422,28,no,28
742,518,32,no,32
664,614,30,no,30
502,242,34,no,34
712,426,30,no,30
482,568,23,no,23
504,540,21,no,21
636,512,27,no,27
72,346,29,no,29
26,344,28,no,28
496,138,27,no,27
188,632,15,no,15
382,440,31,no,31
678,100,32,no,32
