x,y,r (pixel),is_circle,r (um)
132,272,189,no,189
484,444,126,no,126
500,112,167,no,167
112,282,209,yes,209
484,476,157,yes,157
512,144,191,yes,191
446,468,192,no,192
486,140,152,no,152
150,260,167,no,167
536,130,194,no,194
480,102,186,no,186
554,148,217,no,217
462,452,184,no,184
126,312,235,no,235
500,432,106,no,106
578,164,246,no,246
412,464,226,no,226
502,466,138,no,138
258,570,102,yes,102
136,292,250,no,250
454,494,183,no,183
258,534,138,no,138
458,82,215,no,215
472,122,196,no,196
454,410,160,no,160
524,470,191,no,191
152,280,230,no,230
800,348,175,yes,175
520,108,147,no,147
268,552,75,no,75
490,414,130,no,130
174,286,149,no,149
466,426,141,no,141
480,496,175,no,175
556,124,215,no,215
176,264,203,no,203
300,438,63,no,63
734,646,138,yes,138
168,242,141,no,141
288,516,111,no,111
484,162,133,no,133
152,416,140,no,140
408,390,113,no,113
524,438,85,no,85
198,302,124,no,124
208,562,36,no,36
772,314,121,no,121
410,540,19,yes,19
320,452,40,yes,40
284,588,72,no,72
314,396,63,no,63
516,418,85,no,85
234,360,67,no,67
270,338,24,yes,24
510,486,80,no,80
234,450,54,no,54
216,328,92,no,92
264,492,18,yes,18
382,460,71,no,71
374,506,36,no,36
