x,y,r (pixel),is_circle,r (um)
750,558,68,yes,68
492,94,50,yes,50
640,426,82,yes,82
74,316,59,yes,59
616,560,68,yes,68
90,88,42,yes,42
398,542,58,yes,58
474,180,39,yes,39
508,500,62,yes,62
652,274,67,yes,67
418,260,56,yes,56
282,484,77,yes,77
532,312,66,yes,66
76,198,62,yes,62
444,438,150,no,150
816,318,63,yes,63
352,290,126,no,126
294,460,103,no,103
374,372,58,yes,58
256,448,121,no,121
306,214,38,yes,38
610,448,116,no,116
336,314,88,no,88
672,422,159,no,159
328,472,156,no,156
312,328,107,no,107
290,280,32,yes,32
316,446,126,no,126
514,294,126,no,126
198,230,46,no,46
270,362,49,yes,49
100,294,92,no,92
662,402,114,no,114
596,428,125,no,125
138,646,62,yes,62
368,340,114,no,114
436,20,41,yes,41
288,436,104,no,104
636,548,90,no,90
606,94,39,yes,39
270,466,89,no,89
548,328,87,no,87
116,506,94,no,94
526,336,90,no,90
160,376,57,no,57
688,192,131,no,131
152,302,92,no,92
692,62,44,yes,44
708,204,116,no,116
414,498,82,no,82
110,312,79,no,79
552,350,94,no,94
80,286,90,no,90
194,376,68,no,68
98,176,92,no,92
62,418,75,no,75
180,356,68,no,68
72,532,71,no,71
302,480,57,no,57
774,226,40,yes,40
244,150,24,yes,24
664,256,48,no,48
40,612,25,yes,25
622,406,97,no,97
274,504,92,no,92
132,284,80,no,80
526,468,67,no,67
430,240,60,no,60
326,260,72,no,72
98,522,47,no,47
602,542,89,no,89
136,264,85,no,85
542,288,94,no,94
64,390,63,no,63
82,400,58,no,58
752,534,48,no,48
396,336,72,no,72
202,352,62,no,62
760,506,77,no,77
76,442,68,no,68
230,374,65,no,65
292,338,52,no,52
400,366,51,no,51
190,396,49,no,49
760,112,27,yes,27
86,504,55,no,55
212,386,54,no,54
368,182,28,yes,28
508,480,45,no,45
684,246,68,no,68
224,232,55,no,55
650,386,47,no,47
156,430,21,yes,21
198,26,16,yes,16
120,416,54,no,54
242,292,41,no,41
574,330,86,no,86
98,198,45,no,45
172,316,21,yes,21
312,278,54,no,54
448,254,54,no,54
294,504,84,no,84
414,526,56,no,56
326,210,49,no,49
528,488,46,no,46
226,212,51,no,51
512,86,41,no,41
478,406,37,no,37
424,434,56,no,56
482,160,47,no,47
638,526,68,no,68
92,422,49,no,49
150,626,44,no,44
174,286,44,no,44
554,308,53,no,53
640,258,39,no,39
832,300,60,no,60
174,472,24,yes,24
734,528,57,no,57
384,354,41,no,41
134,448,37,no,37
358,358,37,no,37
354,266,54,no,54
188,300,44,no,44
490,388,41,no,41
256,344,40,no,40
700,82,53,no,53
244,270,48,no,48
42,416,33,no,33
544,400,26,yes,26
760,52,24,yes,24
186,532,60,no,60
158,274,55,no,55
112,546,37,no,37
226,304,22,yes,22
666,290,46,no,46
274,324,39,no,39
104,362,35,no,35
526,514,30,no,30
116,484,44,no,44
130,374,31,no,31
330,294,45,no,45
806,298,44,no,44
504,404,32,no,32
232,408,17,yes,17
68,568,44,no,44
436,388,28,no,28
330,406,26,no,26
270,70,17,yes,17
366,204,29,no,29
550,106,20,yes,20
430,276,36,no,36
356,416,36,no,36
206,434,29,no,29
66,180,40,no,40
852,442,35,no,35
728,552,33,no,33
396,512,33,no,33
200,210,32,no,32
66,478,26,no,26
532,436,25,no,25
144,246,39,no,39
784,208,35,no,35
710,458,20,yes,20
670,112,17,yes,17
772,530,48,no,48
124,626,39,no,39
214,480,33,no,33
96,580,32,no,32
302,260,29,no,29
252,220,47,no,47
406,242,33,no,33
758,270,15,yes,15
418,550,32,no,32
378,284,29,no,29
218,460,27,no,27
714,120,16,yes,16
488,478,32,no,32
210,324,22,no,22
272,406,22,no,22
