x,y,r (pixel),is_circle,r (um)
284,156,116,yes,116
702,336,98,yes,98
280,576,108,yes,108
524,244,78,yes,78
766,498,80,yes,80
606,524,76,yes,76
142,368,110,yes,110
372,364,92,yes,92
304,162,161,no,161
504,236,99,no,99
658,150,66,yes,66
480,672,86,yes,86
296,138,138,no,138
290,558,128,no,128
454,504,60,yes,60
254,172,149,no,149
280,124,149,no,149
714,312,125,no,125
506,50,101,yes,101
166,378,128,no,128
542,388,58,yes,58
272,190,173,no,173
680,330,120,no,120
254,148,148,no,148
848,120,112,yes,112
256,566,131,no,131
128,524,40,yes,40
356,378,113,no,113
132,346,137,no,137
384,346,113,no,113
48,228,40,yes,40
326,192,153,no,153
330,158,155,no,155
122,368,131,no,131
588,534,107,no,107
38,116,78,yes,78
298,584,126,no,126
616,504,111,no,111
120,392,143,no,143
684,350,121,no,121
732,354,132,no,132
630,538,102,no,102
722,330,116,no,116
310,124,134,no,134
294,180,133,no,133
510,260,120,no,120
406,348,108,no,108
164,356,121,no,121
394,376,110,no,110
476,490,71,no,71
734,306,124,no,124
488,42,125,no,125
754,516,89,no,89
270,540,144,no,144
538,264,102,no,102
536,222,103,no,103
524,398,75,no,75
526,42,121,no,121
638,504,112,no,112
784,484,78,no,78
264,588,88,no,88
440,520,80,no,80
160,76,38,yes,38
178,394,107,no,107
58,130,56,no,56
748,194,39,yes,39
28,96,94,no,94
118,222,21,yes,21
562,376,82,no,82
62,568,30,yes,30
326,596,78,no,78
154,202,24,yes,24
