x,y,r (pixel),is_circle,r (um)
430,150,136,yes,136
282,464,165,yes,165
112,150,144,yes,144
674,202,88,yes,88
548,366,94,yes,94
816,414,136,yes,136
274,486,189,no,189
588,656,152,yes,152
302,472,189,no,189
240,476,208,no,208
252,454,192,no,192
408,142,158,no,158
240,506,225,no,225
240,436,247,no,247
430,130,124,no,124
296,496,200,no,200
320,464,197,no,197
292,436,194,no,194
92,142,163,no,163
410,164,164,no,164
268,414,249,no,249
448,162,154,no,154
572,674,177,no,177
72,546,69,yes,69
262,504,214,no,214
268,436,196,no,196
584,636,135,no,135
224,490,208,no,208
14,378,93,yes,93
310,444,211,no,211
386,134,181,no,181
132,136,138,no,138
106,118,119,no,119
606,670,174,no,174
140,162,162,no,162
324,498,184,no,184
456,142,144,no,144
92,176,174,no,174
564,344,117,no,117
390,172,184,no,184
118,168,167,no,167
578,18,46,yes,46
308,424,213,no,213
810,390,113,no,113
292,408,188,no,188
520,360,120,no,120
656,216,108,no,108
446,116,171,no,171
418,112,105,no,105
566,650,171,no,171
532,382,116,no,116
568,366,107,no,107
688,186,93,no,93
574,616,113,no,113
666,182,70,no,70
796,406,173,no,173
608,650,135,no,135
130,114,132,no,132
798,428,114,no,114
72,524,62,no,62
222,450,104,no,104
52,540,48,no,48
28,394,72,no,72
466,122,95,no,95
54,560,47,no,47
690,232,56,no,56
324,520,94,no,94
806,356,81,no,81
540,348,72,no,72
466,94,97,no,97
90,568,35,no,35
102,530,32,no,32
