x,y,r (pixel),is_circle,r (um)
594,286,149,no,149
738,538,115,yes,115
92,420,151,yes,151
342,144,96,yes,96
574,274,174,yes,174
346,354,82,yes,82
458,568,128,yes,128
568,300,184,no,184
164,190,67,yes,67
434,570,156,no,156
108,402,127,no,127
622,256,187,no,187
614,294,205,no,205
530,318,248,no,248
716,532,133,no,133
374,154,115,no,115
508,60,59,yes,59
612,274,135,no,135
594,266,141,no,141
584,232,230,no,230
480,576,146,no,146
368,132,96,no,96
538,344,227,no,227
552,314,194,no,194
324,344,105,no,105
356,112,111,no,111
396,106,129,no,129
550,276,191,no,191
634,310,184,no,184
222,12,58,yes,58
278,484,53,yes,53
240,632,72,yes,72
306,106,159,no,159
316,130,125,no,125
74,436,198,no,198
614,318,182,no,182
594,308,174,no,174
732,520,99,no,99
598,216,214,no,214
350,166,145,no,145
464,588,140,no,140
364,372,134,no,134
610,234,200,no,200
322,148,118,no,118
390,138,127,no,127
88,390,179,no,179
86,458,214,no,214
110,436,169,no,169
148,398,158,no,158
720,554,136,no,136
636,280,182,no,182
180,204,100,no,100
440,592,158,no,158
406,560,186,no,186
450,548,108,no,108
204,210,95,no,95
370,338,83,no,83
562,256,156,no,156
760,524,141,no,141
186,184,68,no,68
146,176,98,no,98
192,160,83,no,83
330,114,128,no,128
384,320,106,no,106
394,164,105,no,105
366,180,126,no,126
472,552,108,no,108
304,488,86,no,86
486,72,84,no,84
344,332,72,no,72
242,612,53,no,53
214,166,104,no,104
292,456,94,no,94
366,92,91,no,91
378,358,102,no,102
522,44,70,no,70
108,614,48,yes,48
338,374,108,no,108
130,386,123,no,123
262,638,85,no,85
242,238,68,no,68
410,178,87,no,87
208,190,86,no,86
416,156,82,no,82
280,632,86,no,86
360,316,95,no,95
126,460,100,no,100
100,368,100,no,100
694,322,18,no,18
306,166,77,no,77
114,634,37,no,37
112,592,41,no,41
646,242,91,no,91
486,596,100,no,100
150,206,42,no,42
290,134,40,no,40
294,198,13,no,13
178,388,59,no,59
514,82,41,no,41
272,228,41,no,41
238,100,39,no,39
