x,y,r (pixel),is_circle,r (um)
416,222,45,yes,45
416,64,53,yes,53
436,444,53,yes,53
494,148,53,yes,53
114,378,51,yes,51
498,264,44,yes,44
352,148,46,yes,46
642,544,49,yes,49
596,448,52,yes,52
754,452,44,yes,44
198,446,59,yes,59
236,332,43,yes,43
204,46,46,yes,46
758,56,54,yes,54
698,166,52,yes,52
638,354,49,yes,49
474,612,46,yes,46
250,592,38,yes,38
336,302,54,yes,54
542,544,42,yes,42
334,416,44,yes,44
326,572,42,yes,42
698,288,38,yes,38
80,150,52,yes,52
740,360,42,yes,42
550,338,39,yes,39
486,376,31,yes,31
802,618,53,yes,53
642,238,40,yes,40
568,208,37,yes,37
478,122,93,no,93
566,622,50,yes,50
154,210,52,yes,52
210,130,35,yes,35
142,574,51,yes,51
108,480,40,yes,40
146,100,31,yes,31
312,634,29,yes,29
636,648,49,yes,49
268,510,38,yes,38
718,516,34,yes,34
48,612,40,yes,40
262,202,61,no,61
800,520,40,yes,40
582,124,39,yes,39
670,66,26,yes,26
586,422,81,no,81
440,320,39,yes,39
736,242,55,no,55
516,158,84,no,84
614,438,62,no,62
410,538,42,yes,42
194,632,25,yes,25
644,94,56,yes,56
212,258,28,yes,28
682,398,23,yes,23
804,424,50,yes,50
96,290,41,yes,41
516,474,37,yes,37
64,544,30,yes,30
820,208,59,yes,59
364,644,43,yes,43
780,54,77,no,77
618,190,43,yes,43
52,56,30,yes,30
764,276,31,yes,31
344,560,53,no,53
742,222,30,yes,30
612,288,22,yes,22
676,452,31,yes,31
312,88,22,yes,22
130,590,57,no,57
346,218,27,yes,27
622,104,50,yes,50
126,104,47,yes,47
416,136,24,yes,24
44,490,20,yes,20
208,530,22,yes,22
824,612,63,no,63
198,424,57,no,57
168,502,20,yes,20
808,376,31,yes,31
570,270,25,yes,25
174,196,64,no,64
626,170,27,yes,27
722,584,34,yes,34
586,56,24,yes,24
592,600,19,yes,19
54,324,24,yes,24
774,136,24,yes,24
660,346,60,no,60
494,50,30,yes,30
546,76,32,no,32
398,370,39,no,39
512,428,36,yes,36
264,66,22,yes,22
690,620,14,yes,14
780,526,34,no,34
468,504,23,yes,23
92,204,20,yes,20
494,540,25,no,25
72,292,46,no,46
708,600,40,no,40
274,18,32,yes,32
302,462,23,yes,23
724,666,39,yes,39
74,234,29,no,29
832,328,18,yes,18
270,392,25,yes,25
754,550,22,no,22
