x,y,r (pixel),is_circle,r (um)
230,422,116,yes,116
346,150,145,yes,145
364,164,162,no,162
338,128,126,no,126
318,150,174,no,174
380,178,180,no,180
410,218,237,no,237
588,308,134,yes,134
344,182,181,no,181
312,170,168,no,168
236,394,144,no,144
296,144,194,no,194
80,238,110,yes,110
204,404,148,no,148
242,440,127,no,127
364,214,202,no,202
304,456,187,no,187
568,304,149,no,149
364,142,146,no,146
404,340,71,yes,71
598,332,142,no,142
600,292,155,no,155
646,328,182,no,182
294,436,190,no,190
616,312,136,no,136
62,226,126,no,126
370,116,185,no,185
258,404,144,no,144
564,274,177,no,177
398,490,109,no,109
384,138,157,no,157
52,206,154,no,154
422,480,104,no,104
580,286,122,no,122
202,378,109,no,109
270,434,138,no,138
316,128,104,no,104
340,106,104,no,104
442,492,113,no,113
406,178,115,no,115
84,218,91,no,91
398,320,91,no,91
298,116,83,no,83
120,610,62,no,62
598,134,48,yes,48
