x,y,r (pixel),is_circle,r (um)
698,516,88,yes,132.88
504,260,86,yes,129.86
468,544,95,yes,143.45
54,586,84,yes,126.84
744,130,67,yes,101.17
124,420,76,yes,114.76
346,224,76,yes,114.76
812,370,98,yes,147.98
232,126,78,yes,117.78
608,128,69,yes,104.19
668,264,67,yes,101.17
244,320,71,yes,107.21
170,226,36,yes,54.36
500,404,51,yes,77.01
480,130,49,yes,73.99
592,426,40,yes,60.4
476,524,101,no,152.51
670,380,38,yes,57.38
498,556,127,no,191.77
696,494,90,no,135.9
846,212,65,yes,98.15
584,502,30,yes,45.3
612,342,24,yes,36.24
490,246,106,no,160.06
518,240,98,no,147.98
90,306,34,yes,51.34
654,278,89,no,134.39000000000001
368,468,28,yes,42.28
330,242,97,no,146.47
814,350,104,no,157.04
242,108,85,no,128.35
122,400,80,no,120.8
450,524,70,no,105.7
614,108,77,no,116.27
486,48,22,yes,33.22
490,108,60,no,90.6
248,216,24,yes,36.24
848,632,31,yes,46.81
68,568,76,no,114.76
146,184,15,yes,22.65
358,204,51,no,77.01
586,636,20,yes,30.2
752,112,47,no,70.97
586,52,15,yes,22.65
