x,y,r (pixel),is_circle,r (um)
156,56,52,yes,52
282,272,87,yes,87
226,414,99,no,99
552,398,99,no,99
358,488,42,yes,42
660,528,47,yes,47
324,158,40,yes,40
304,254,80,no,80
694,430,56,yes,56
782,256,46,yes,46
186,462,91,no,91
200,444,60,yes,60
698,76,64,no,64
310,404,88,no,88
536,134,50,yes,50
166,418,91,no,91
534,168,86,no,86
500,438,80,no,80
66,606,70,no,70
622,600,42,yes,42
96,612,99,no,99
520,580,99,no,99
532,558,58,yes,58
420,138,53,yes,53
534,418,48,yes,48
426,534,42,yes,42
298,372,70,no,70
330,382,48,yes,48
646,494,84,no,84
736,562,44,yes,44
346,606,77,no,77
676,244,54,yes,54
642,152,44,yes,44
82,292,82,no,82
290,534,36,yes,36
558,422,75,no,75
256,96,46,yes,46
610,334,44,yes,44
390,318,36,yes,36
678,406,66,no,66
190,138,46,yes,46
404,166,78,no,78
248,600,42,yes,42
378,490,74,no,74
810,618,48,yes,48
694,330,40,yes,40
666,508,62,no,62
174,262,55,no,55
50,428,46,no,46
776,352,46,yes,46
580,328,66,no,66
208,538,33,yes,33
484,478,32,yes,32
392,616,41,no,41
576,230,66,no,66
692,634,50,no,50
506,152,77,no,77
722,98,70,no,70
64,278,60,no,60
732,164,42,yes,42
422,444,38,yes,38
546,648,34,yes,34
106,148,76,no,76
642,536,62,no,62
134,348,50,no,50
460,260,50,no,50
770,110,30,yes,30
334,492,71,no,71
78,486,50,no,50
168,290,49,no,49
82,628,63,yes,63
146,260,62,no,62
414,556,62,no,62
542,48,43,yes,43
536,334,38,yes,38
478,272,36,yes,36
458,600,34,yes,34
712,422,64,no,64
318,604,52,no,52
422,386,39,no,39
76,140,70,no,70
92,122,63,no,63
816,514,56,yes,56
166,600,43,yes,43
524,438,64,no,64
392,222,34,yes,34
136,554,30,yes,30
818,170,49,yes,49
788,428,33,yes,33
610,42,29,yes,29
148,362,31,yes,31
208,656,27,yes,27
252,376,25,yes,25
410,428,50,no,50
356,80,46,yes,46
446,340,60,no,60
56,482,44,no,44
368,470,62,no,62
60,304,50,no,50
626,142,50,no,50
214,200,21,yes,21
688,226,56,no,56
202,354,49,no,49
456,320,48,no,48
698,104,64,no,64
464,64,45,no,45
80,360,40,no,40
596,440,38,no,38
126,410,23,yes,23
226,594,64,no,64
72,416,46,no,46
614,452,40,no,40
602,88,37,no,37
282,460,32,yes,32
140,46,56,no,56
480,200,34,yes,34
28,66,31,yes,31
210,326,40,no,40
120,460,30,yes,30
350,550,30,yes,30
566,282,31,yes,31
550,476,29,yes,29
512,408,54,no,54
632,334,55,no,55
588,214,42,yes,42
140,508,37,no,37
436,320,42,no,42
734,492,32,yes,32
208,242,24,yes,24
516,322,47,no,47
188,368,40,no,40
106,246,28,yes,28
422,270,24,yes,24
534,232,42,no,42
606,270,32,no,32
136,190,24,yes,24
468,386,22,yes,22
402,374,37,no,37
78,200,32,yes,32
176,156,52,no,52
372,424,23,yes,23
442,132,48,no,48
100,360,37,no,37
254,174,37,no,37
146,286,41,no,41
770,56,30,yes,30
88,60,26,yes,26
48,546,25,yes,25
182,320,27,yes,27
88,540,25,yes,25
64,500,34,yes,34
174,220,30,yes,30
614,388,29,no,29
590,500,25,yes,25
124,312,25,no,25
394,570,18,yes,18
756,494,33,no,33
14,370,33,yes,33
162,506,25,no,25
494,356,18,yes,18
472,428,21,yes,21
342,364,37,no,37
246,494,18,yes,18
442,212,17,yes,17
16,426,16,yes,16
438,588,30,no,30
390,270,22,no,22
530,278,19,yes,19
