x,y,r (pixel),is_circle,r (um)
188,206,82,yes,123.82000000000001
670,106,82,yes,123.82000000000001
146,138,116,no,175.16
516,570,104,no,157.04
664,414,128,no,193.28
158,594,89,no,134.39000000000001
538,580,82,yes,123.82000000000001
720,262,80,yes,120.8
460,512,135,no,203.85
204,558,130,no,196.3
222,532,104,no,157.04
382,230,91,yes,137.41
284,332,114,no,172.14000000000001
444,352,132,no,199.32
164,198,106,no,160.06
372,492,99,no,149.49
328,526,131,no,197.81
136,156,116,no,175.16
336,446,104,no,157.04
284,516,88,no,132.88
396,504,80,yes,120.8
208,186,110,no,166.1
356,224,110,no,166.1
346,500,124,no,187.24
668,246,142,no,214.42
250,300,89,no,134.39000000000001
222,462,99,no,149.49
688,270,143,no,215.93
268,346,138,no,208.38
488,536,126,no,190.26
650,112,103,no,155.53
702,592,58,yes,87.58
680,432,127,no,191.77
386,542,108,no,163.08
370,514,101,no,152.51
306,332,128,no,193.28
278,490,112,no,169.12
528,156,87,no,131.37
170,164,83,no,125.33
632,356,72,no,108.72
234,492,69,no,104.19
578,284,60,yes,90.6
236,348,114,no,172.14000000000001
138,386,98,no,147.98
488,364,92,no,138.92
322,166,138,no,208.38
656,488,124,no,187.24
142,336,115,no,173.65
352,190,101,no,152.51
680,454,113,no,170.63
128,364,75,yes,113.25
284,310,119,no,179.69
492,556,112,no,169.12
240,514,74,no,111.74
164,128,115,no,173.65
62,504,72,yes,108.72
490,434,65,no,98.15
80,116,56,yes,84.56
380,472,84,no,126.84
176,74,56,yes,84.56
648,428,115,no,173.65
718,460,62,yes,93.62
694,242,112,no,169.12
546,554,104,no,157.04
360,468,74,no,111.74
260,518,65,yes,98.15
376,102,44,yes,66.44
498,336,103,no,155.53
416,514,97,no,146.47
366,206,80,no,120.8
70,532,136,no,205.36
202,126,118,no,178.18
404,476,89,no,134.39000000000001
254,496,51,no,77.01
368,386,46,yes,69.46
408,216,120,no,181.2
216,212,101,no,152.51
154,180,87,no,131.37
566,546,117,no,176.67
204,580,111,no,167.61
500,152,101,no,152.51
690,404,103,no,155.53
182,588,95,no,143.45
738,362,38,yes,57.38
342,206,103,no,155.53
466,338,57,yes,86.07000000000001
92,28,38,yes,57.38
530,538,84,no,126.84
262,470,77,no,116.27
702,440,67,no,101.17
388,210,93,no,140.43
704,218,86,no,129.86
262,326,61,no,92.11
210,164,100,no,151.0
92,494,99,no,149.49
374,446,87,no,131.37
674,590,75,no,113.25
818,134,72,yes,108.72
282,44,62,yes,93.62
100,350,95,no,143.45
598,456,56,yes,84.56
646,132,112,no,169.12
574,264,77,no,116.27
428,336,90,no,135.9
220,438,83,no,125.33
188,186,65,no,98.15
216,306,90,no,135.9
250,542,83,no,125.33
602,430,66,no,99.66
190,412,56,no,84.56
654,362,50,yes,75.5
654,92,82,no,123.82000000000001
214,480,77,no,116.27
446,326,78,no,117.78
470,40,69,yes,104.19
268,442,62,no,93.62
558,374,32,yes,48.32
232,324,87,no,131.37
302,560,62,no,93.62
176,436,61,no,92.11
354,370,45,no,67.95
300,424,39,yes,58.89
132,316,96,no,144.96
484,410,60,no,90.6
326,572,38,yes,57.38
328,486,87,no,131.37
292,142,44,yes,66.44
734,236,92,no,138.92
344,642,72,no,108.72
704,560,60,no,90.6
166,480,29,yes,43.79
162,380,83,no,125.33
102,324,73,no,110.23
200,438,73,no,110.23
480,600,84,no,126.84
516,138,78,no,117.78
554,258,66,no,99.66
242,462,56,no,84.56
718,480,79,no,119.29
814,552,92,no,138.92
578,436,49,no,73.99
134,560,69,no,104.19
520,520,67,no,101.17
160,60,63,no,95.13
680,86,56,no,84.56
212,408,56,no,84.56
328,630,53,no,80.03
574,406,65,no,98.15
64,96,53,no,80.03
636,522,30,yes,45.3
170,418,54,no,81.54
420,590,48,no,72.48
152,452,31,no,46.81
670,540,69,no,104.19
274,126,66,no,99.66
686,572,56,no,84.56
362,84,47,no,70.97
258,606,60,no,90.6
294,26,71,no,107.21
118,336,66,no,99.66
502,450,44,yes,66.44
510,172,69,no,104.19
84,94,46,no,69.46
726,344,60,no,90.6
282,404,43,no,64.93
636,204,34,yes,51.34
394,444,67,no,101.17
404,238,60,no,90.6
176,48,49,no,73.99
814,358,49,yes,73.99
538,176,59,no,89.09
288,540,49,no,73.99
422,412,49,no,73.99
714,238,57,no,86.07000000000001
218,382,55,no,83.05
650,342,52,no,78.52
364,352,51,no,77.01
622,78,72,no,108.72
354,536,61,no,92.11
824,436,52,no,78.52
162,526,45,no,67.95
604,268,54,no,81.54
242,590,44,no,66.44
360,294,40,no,60.4
540,362,45,no,67.95
180,386,41,no,61.910000000000004
142,204,56,no,84.56
216,512,47,no,70.97
464,416,41,no,61.910000000000004
132,432,32,no,48.32
304,526,46,no,69.46
758,670,41,yes,61.910000000000004
628,106,53,no,80.03
16,46,39,yes,58.89
184,530,22,yes,33.22
404,570,38,no,57.38
284,378,29,no,43.79
548,148,42,no,63.42
486,26,39,no,58.89
620,500,32,no,48.32
234,398,34,no,51.34
598,298,37,no,55.87
470,12,66,no,99.66
