x,y,r (pixel),is_circle,r (um)
102,124,74,yes,111.74
682,386,55,yes,83.05
782,328,46,yes,69.46
582,550,58,yes,87.58
426,572,80,yes,120.8
506,362,61,yes,92.11
396,392,58,yes,87.58
182,400,38,yes,57.38
268,200,61,yes,92.11
356,238,24,yes,36.24
406,574,60,no,90.6
116,102,99,no,149.49
722,628,31,yes,46.81
118,412,28,yes,42.28
264,454,26,yes,39.26
444,558,65,no,98.15
390,270,27,yes,40.77
688,590,17,yes,25.67
438,174,18,yes,27.18
554,248,23,yes,34.73
674,628,19,yes,28.69
86,38,25,yes,37.75
170,588,29,yes,43.79
530,288,25,yes,37.75
638,244,23,yes,34.73
804,392,21,yes,31.71
808,648,18,yes,27.18
74,312,17,yes,25.67
276,182,46,no,69.46
646,540,16,yes,24.16
658,588,16,yes,24.16
658,268,13,yes,19.63
770,628,16,yes,24.16
70,588,15,yes,22.65
