x,y,r (pixel),is_circle,r (um)
650,310,61,yes,61
502,126,74,yes,74
176,506,58,yes,58
460,386,42,yes,42
778,94,59,yes,59
768,562,69,yes,69
746,438,51,yes,51
388,614,70,yes,70
394,196,57,yes,57
560,260,42,yes,42
552,354,46,yes,46
648,102,71,yes,71
290,86,74,yes,74
634,434,64,yes,64
468,286,51,yes,51
596,624,51,yes,51
362,396,56,yes,56
796,222,55,yes,55
722,168,38,yes,38
108,628,67,yes,67
440,488,54,yes,54
76,316,46,yes,46
64,508,43,yes,43
530,444,43,yes,43
274,332,51,yes,51
92,416,55,yes,55
398,94,38,yes,38
252,426,48,yes,48
172,338,51,yes,51
364,294,46,yes,46
686,630,41,yes,41
582,524,45,yes,45
586,184,38,yes,38
758,318,48,yes,48
78,236,36,yes,36
662,554,37,yes,37
504,578,51,yes,51
236,582,43,yes,43
168,96,50,yes,50
296,236,43,yes,43
226,174,39,yes,39
110,170,37,yes,37
402,598,67,no,67
162,240,51,yes,51
660,202,32,yes,32
562,20,48,yes,48
62,96,40,yes,40
226,268,29,yes,29
712,240,34,yes,34
292,634,36,yes,36
832,386,52,yes,52
432,12,54,yes,54
648,420,60,no,60
520,112,48,no,48
32,184,42,yes,42
770,668,44,yes,44
380,590,43,no,43
668,322,41,no,41
322,166,27,yes,27
666,90,47,no,47
824,468,37,yes,37
728,18,30,yes,30
