x,y,r (pixel),is_circle,r (um)
806,130,121,yes,356.95000000000005
42,134,110,yes,324.5
184,494,58,yes,171.10000000000002
444,270,45,yes,132.75
384,234,196,no,578.2
392,210,191,no,563.45
276,514,170,no,501.50000000000006
366,298,178,no,525.1
366,272,159,no,469.05
346,280,190,no,560.5
304,238,193,no,569.35
262,252,144,no,424.8
232,498,111,no,327.45000000000005
410,624,48,yes,141.60000000000002
384,286,180,no,531.0
288,474,149,no,439.55
352,318,165,no,486.75000000000006
470,350,196,no,578.2
270,488,148,no,436.6
404,316,156,no,460.20000000000005
426,348,158,no,466.1
404,132,99,no,292.05
834,420,60,yes,177.0
312,494,131,no,386.45000000000005
386,262,148,no,436.6
574,174,118,no,348.1
242,450,122,no,359.90000000000003
262,138,127,no,374.65000000000003
262,278,124,no,365.8
390,476,52,yes,153.4
382,310,158,no,466.1
466,322,148,no,436.6
502,30,47,yes,138.65
264,450,110,no,324.5
422,200,117,no,345.15000000000003
276,296,111,no,327.45000000000005
384,112,103,no,303.85
126,332,126,no,371.70000000000005
568,146,126,no,371.70000000000005
172,474,80,no,236.0
496,452,33,yes,97.35000000000001
408,110,89,no,262.55
32,112,126,no,371.70000000000005
454,294,123,no,362.85
418,174,134,no,395.3
424,316,130,no,383.5
384,160,128,no,377.6
280,264,123,no,362.85
378,134,121,no,356.95000000000005
636,144,143,no,421.85
602,166,126,no,371.70000000000005
326,418,36,yes,106.2
146,230,31,yes,91.45
162,498,78,no,230.10000000000002
486,514,150,no,442.5
444,248,131,no,386.45000000000005
444,110,121,no,356.95000000000005
256,304,99,no,292.05
166,326,120,no,354.0
334,500,116,no,342.20000000000005
226,242,109,no,321.55
198,458,96,no,283.20000000000005
410,220,99,no,292.05
382,376,36,yes,106.2
360,468,128,no,377.6
202,508,121,no,356.95000000000005
412,456,118,no,348.1
408,152,113,no,333.35
238,226,123,no,362.85
212,490,87,no,256.65000000000003
462,530,147,no,433.65000000000003
490,344,132,no,389.40000000000003
444,322,112,no,330.40000000000003
148,476,103,no,303.85
476,90,87,no,256.65000000000003
318,532,84,no,247.8
446,406,37,yes,109.15
534,288,28,yes,82.60000000000001
822,120,136,no,401.20000000000005
340,240,25,yes,73.75
498,326,124,no,365.8
424,476,106,no,312.70000000000005
380,434,84,no,247.8
636,352,29,yes,85.55000000000001
198,344,94,no,277.3
294,504,48,yes,141.60000000000002
812,152,134,no,395.3
528,188,70,no,206.5
550,410,30,yes,88.5
442,78,122,no,359.90000000000003
338,436,112,no,330.40000000000003
14,492,60,yes,177.0
164,532,99,no,292.05
612,554,27,yes,79.65
628,170,125,no,368.75
248,102,101,no,297.95000000000005
788,120,100,no,295.0
410,90,85,no,250.75000000000003
94,340,113,no,333.35
592,140,103,no,303.85
380,454,102,no,300.90000000000003
242,320,96,no,283.20000000000005
396,186,90,no,265.5
480,548,143,no,421.85
122,306,108,no,318.6
222,106,105,no,309.75
274,654,55,yes,162.25
332,582,39,yes,115.05000000000001
136,370,31,yes,91.45
700,586,25,yes,73.75
576,116,114,no,336.3
406,340,106,no,312.70000000000005
242,134,85,no,250.75000000000003
256,428,32,yes,94.4
226,184,27,yes,79.65
224,372,25,yes,73.75
202,320,89,no,262.55
220,284,31,yes,91.45
352,186,30,yes,88.5
352,96,30,yes,88.5
284,532,75,no,221.25
520,208,60,no,177.0
244,408,56,no,165.20000000000002
608,232,106,no,312.70000000000005
404,498,78,no,230.10000000000002
510,240,26,yes,76.7
638,264,99,no,292.05
216,222,91,no,268.45
278,224,89,no,262.55
442,146,30,yes,88.5
484,306,96,no,283.20000000000005
104,402,76,no,224.20000000000002
256,216,71,no,209.45000000000002
90,432,48,no,141.60000000000002
648,6,41,yes,120.95
308,286,23,yes,67.85000000000001
422,280,89,no,262.55
546,344,86,no,253.70000000000002
386,506,77,no,227.15
568,332,111,no,327.45000000000005
198,530,94,no,277.3
176,516,71,no,209.45000000000002
228,340,68,no,200.60000000000002
308,410,56,no,165.20000000000002
388,86,84,no,247.8
250,634,84,no,247.8
272,200,79,no,233.05
284,430,64,no,188.8
618,134,90,no,265.5
594,308,89,no,262.55
182,140,30,yes,88.5
36,156,126,no,371.70000000000005
58,118,88,no,259.6
588,100,79,no,233.05
464,252,71,no,209.45000000000002
444,362,81,no,238.95000000000002
360,492,92,no,271.40000000000003
502,154,25,yes,73.75
568,42,20,yes,59.0
276,118,66,no,194.70000000000002
332,94,50,no,147.5
638,244,88,no,259.6
584,368,79,no,233.05
358,582,68,no,200.60000000000002
228,420,66,no,194.70000000000002
752,584,25,yes,73.75
288,134,54,no,159.3
238,78,87,no,256.65000000000003
264,410,54,no,159.3
614,460,21,yes,61.95
712,250,21,yes,61.95
558,196,68,no,200.60000000000002
350,404,65,no,191.75
564,84,58,no,171.10000000000002
310,326,59,no,174.05
536,220,58,no,171.10000000000002
466,400,58,no,171.10000000000002
524,352,95,no,280.25
198,418,21,yes,61.95
650,174,100,no,295.0
480,196,21,yes,61.95
158,304,17,yes,50.150000000000006
594,272,62,no,182.9
338,302,55,no,162.25
130,390,52,no,153.4
550,176,51,no,150.45000000000002
566,240,23,yes,67.85000000000001
474,124,57,no,168.15
282,358,38,no,112.10000000000001
406,66,64,no,188.8
398,604,63,no,185.85000000000002
564,64,62,no,182.9
802,276,17,yes,50.150000000000006
524,332,84,no,247.8
424,608,62,no,182.9
240,156,58,no,171.10000000000002
390,624,66,no,194.70000000000002
134,508,64,no,188.8
734,618,18,yes,53.1
336,138,16,yes,47.2
618,264,80,no,236.0
374,64,63,no,185.85000000000002
12,584,31,yes,91.45
502,60,66,no,194.70000000000002
424,260,65,no,191.75
376,402,60,no,177.0
508,188,54,no,159.3
390,534,52,no,153.4
324,340,50,no,147.5
324,398,42,no,123.9
314,206,17,yes,50.150000000000006
472,276,66,no,194.70000000000002
156,378,51,no,150.45000000000002
350,206,49,no,144.55
64,142,92,no,271.40000000000003
120,284,80,no,236.0
270,92,56,no,165.20000000000002
406,378,56,no,165.20000000000002
160,246,46,no,135.70000000000002
332,184,44,no,129.8
282,576,29,no,85.55000000000001
274,170,22,yes,64.9
494,394,31,no,91.45
638,68,19,yes,56.050000000000004
824,654,19,yes,56.050000000000004
72,310,89,no,262.55
252,374,44,no,129.8
550,366,68,no,200.60000000000002
300,68,31,no,91.45
644,208,63,no,185.85000000000002
424,526,18,yes,53.1
188,204,56,no,165.20000000000002
216,202,46,no,135.70000000000002
488,490,65,no,191.75
362,148,54,no,159.3
392,360,48,no,141.60000000000002
304,98,25,no,73.75
154,670,22,yes,64.9
282,620,63,no,185.85000000000002
306,122,36,no,106.2
118,466,31,no,91.45
762,514,15,yes,44.25
320,62,29,no,85.55000000000001
594,198,27,no,79.65
278,382,14,yes,41.300000000000004
448,190,44,no,129.8
296,154,40,no,118.0
368,546,38,no,112.10000000000001
546,104,19,yes,56.050000000000004
134,562,16,yes,47.2
140,272,66,no,194.70000000000002
660,226,54,no,159.3
524,120,31,no,91.45
162,454,29,no,85.55000000000001
612,284,60,no,177.0
240,568,38,no,112.10000000000001
302,346,32,no,94.4
166,184,29,no,85.55000000000001
140,426,25,no,73.75
186,370,15,yes,44.25
776,260,12,yes,35.400000000000006
602,252,48,no,141.60000000000002
510,84,28,no,82.60000000000001
354,674,22,no,64.9
540,144,19,no,56.050000000000004
614,30,10,yes,29.5
682,236,48,no,141.60000000000002
532,86,41,no,120.95
530,42,41,no,120.95
408,28,15,yes,44.25
164,420,21,no,61.95
278,68,16,yes,47.2
178,604,53,no,156.35000000000002
356,116,39,no,115.05000000000001
170,280,38,no,112.10000000000001
116,446,25,no,73.75
242,548,23,no,67.85000000000001
500,432,29,no,85.55000000000001
598,76,29,no,85.55000000000001
512,284,28,no,82.60000000000001
664,278,11,yes,32.45
