x,y,r (pixel),is_circle,r (um)
60,240,44,yes,44
92,316,41,yes,41
396,44,36,yes,36
296,492,69,no,69
186,192,34,yes,34
222,62,32,yes,32
176,328,46,yes,46
210,254,34,yes,34
116,184,34,yes,34
138,254,39,yes,39
66,66,63,no,63
260,318,56,no,56
670,582,59,no,59
300,188,36,yes,36
264,402,44,no,44
336,264,46,yes,46
150,70,39,yes,39
412,264,37,yes,37
284,330,57,no,57
538,462,36,yes,36
332,502,35,no,35
354,144,29,yes,29
198,124,41,no,41
804,90,36,yes,36
280,74,29,yes,29
464,420,40,yes,40
676,60,36,yes,36
674,140,58,no,58
446,322,56,no,56
88,400,34,yes,34
382,366,56,no,56
748,24,40,yes,40
378,444,49,no,49
90,60,49,no,49
266,480,44,yes,44
406,362,44,yes,44
326,428,30,yes,30
634,422,63,no,63
538,220,29,yes,29
384,626,30,yes,30
498,156,26,yes,26
464,306,32,yes,32
394,426,41,yes,41
700,156,38,yes,38
226,560,44,no,44
22,60,20,yes,20
94,624,37,yes,37
190,408,41,no,41
544,382,40,no,40
478,210,31,yes,31
162,312,44,no,44
152,552,41,no,41
38,360,35,yes,35
594,40,33,yes,33
248,112,26,yes,26
306,624,48,no,48
564,370,44,no,44
290,540,29,yes,29
798,296,27,yes,27
260,624,27,yes,27
296,126,26,yes,26
628,404,47,no,47
472,484,39,no,39
128,122,29,yes,29
376,306,22,yes,22
492,582,43,yes,43
428,534,40,yes,40
522,332,31,yes,31
374,568,37,no,37
640,528,35,no,35
312,374,26,no,26
74,488,44,yes,44
68,136,35,no,35
336,84,34,yes,34
236,166,33,no,33
466,54,33,yes,33
614,234,28,yes,28
430,96,26,yes,26
42,430,25,yes,25
446,144,25,yes,25
666,324,34,yes,34
550,156,30,yes,30
130,438,30,no,30
498,370,28,no,28
434,596,24,yes,24
254,460,39,no,39
736,86,38,no,38
176,496,37,no,37
778,532,32,yes,32
480,104,32,no,32
198,618,29,yes,29
568,106,26,no,26
326,324,24,yes,24
4,122,46,yes,46
252,384,36,no,36
694,370,26,yes,26
594,468,36,no,36
564,306,32,no,32
706,272,29,no,29
664,260,27,yes,27
656,198,26,yes,26
524,278,32,no,32
358,188,32,no,32
314,34,27,yes,27
622,92,29,yes,29
526,68,31,no,31
414,192,30,yes,30
638,152,26,yes,26
422,482,24,yes,24
262,26,23,yes,23
580,264,22,yes,22
598,354,22,yes,22
204,454,30,no,30
786,362,35,yes,35
656,464,29,yes,29
810,28,26,yes,26
324,246,40,no,40
758,258,29,yes,29
594,136,20,yes,20
90,550,33,yes,33
600,182,22,yes,22
428,364,33,no,33
706,434,30,yes,30
358,386,26,no,26
804,594,36,no,36
614,288,28,yes,28
724,488,26,yes,26
522,526,32,no,32
712,572,29,no,29
684,506,26,no,26
122,242,37,no,37
684,544,26,no,26
578,422,25,no,25
528,114,22,yes,22
662,626,23,yes,23
124,6,31,yes,31
268,236,28,yes,28
760,626,24,yes,24
400,130,20,yes,20
740,388,19,yes,19
448,410,30,no,30
294,584,25,no,25
152,610,22,yes,22
702,224,34,no,34
584,500,28,no,28
218,504,22,yes,22
44,230,31,no,31
42,538,22,no,22
136,372,22,yes,22
490,254,20,yes,20
760,586,17,yes,17
224,352,20,yes,20
372,476,14,yes,14
756,452,19,no,19
670,112,19,yes,19
722,534,24,yes,24
200,322,22,no,22
780,410,18,yes,18
