x,y,r (pixel),is_circle,r (um)
400,262,101,yes,101
196,362,99,yes,99
640,242,112,yes,112
814,416,107,yes,107
150,582,93,yes,93
384,516,113,yes,113
236,118,90,yes,90
42,202,97,yes,97
174,352,121,no,121
608,458,88,yes,88
620,252,149,no,149
616,230,135,no,135
546,612,60,yes,60
178,382,143,no,143
220,364,143,no,143
366,244,151,no,151
362,508,135,no,135
382,270,122,no,122
362,534,143,no,143
618,476,125,no,125
590,470,102,no,102
650,222,134,no,134
838,114,69,yes,69
332,496,188,no,188
596,270,178,no,178
418,238,131,no,131
220,106,109,no,109
702,58,59,yes,59
570,440,145,no,145
668,210,178,no,178
402,498,136,no,136
396,240,85,no,85
618,440,108,no,108
404,524,133,no,133
208,342,121,no,121
418,296,145,no,145
630,214,86,no,86
236,94,77,no,77
258,132,140,no,140
358,482,178,no,178
402,282,145,no,145
382,490,155,no,155
346,522,162,no,162
422,268,124,no,124
592,248,174,no,174
636,494,149,no,149
590,448,103,no,103
232,340,139,no,139
594,218,159,no,159
256,108,106,no,106
806,240,46,yes,46
814,396,126,no,126
400,544,139,no,139
662,248,134,no,134
188,334,76,no,76
220,324,121,no,121
680,230,137,no,137
280,118,122,no,122
218,146,114,no,114
146,562,79,no,79
252,324,137,no,137
150,360,124,no,124
46,182,91,no,91
126,570,120,no,120
204,124,109,no,109
350,232,114,no,114
380,552,118,no,118
614,500,73,no,73
526,620,65,no,65
806,434,113,no,113
642,196,103,no,103
260,88,120,no,120
170,206,39,yes,39
390,574,94,no,94
568,626,56,no,56
654,614,14,no,14
52,218,77,no,77
596,428,56,no,56
200,318,75,no,75
646,472,72,no,72
652,270,81,no,81
264,382,11,no,11
800,472,84,no,84
418,480,66,no,66
682,64,41,no,41
348,456,82,no,82
408,598,67,no,67
212,388,69,no,69
514,212,44,no,44
206,162,36,no,36
