x,y,r (pixel),is_circle,r (um)
412,216,115,yes,115
264,370,80,yes,80
434,426,92,yes,92
450,412,94,no,94
636,124,109,no,109
622,492,99,yes,99
118,284,75,yes,75
210,174,71,yes,71
44,124,108,yes,108
312,616,83,yes,83
604,136,98,yes,98
602,304,92,no,92
134,526,94,yes,94
414,196,95,no,95
580,320,94,yes,94
236,16,108,yes,108
430,210,116,no,116
500,642,92,yes,92
286,246,39,yes,39
764,232,90,yes,90
134,550,114,no,114
570,302,97,no,97
808,56,89,yes,89
786,604,77,yes,77
422,410,110,no,110
646,482,127,no,127
616,112,111,no,111
396,204,123,no,123
144,398,39,yes,39
270,390,101,no,101
622,472,79,no,79
158,540,122,no,122
708,346,43,yes,43
588,288,96,no,96
504,510,41,yes,41
410,428,137,no,137
248,382,100,no,100
454,392,99,no,99
60,110,88,yes,88
288,360,104,no,104
100,300,97,no,97
272,488,42,yes,42
808,598,86,no,86
144,292,100,no,100
636,510,102,no,102
258,16,82,no,82
252,348,76,no,76
660,638,60,yes,60
516,628,73,no,73
212,152,50,no,50
