x,y,r (pixel),is_circle,r (um)
454,96,105,yes,105
594,206,73,yes,73
226,154,63,yes,63
92,558,83,yes,83
192,282,70,yes,70
650,54,81,yes,81
324,256,68,yes,68
774,152,68,yes,68
464,276,79,yes,79
122,570,114,no,114
622,338,67,yes,67
346,398,96,no,96
606,238,110,no,110
136,404,61,yes,61
370,392,73,yes,73
466,114,78,no,78
426,368,118,no,118
726,278,60,yes,60
454,536,83,no,83
52,278,73,yes,73
288,412,104,no,104
72,272,73,no,73
330,590,56,yes,56
368,560,117,no,117
214,310,105,no,105
332,382,104,no,104
300,584,95,no,95
120,518,95,no,95
436,518,57,yes,57
524,412,68,yes,68
224,542,51,yes,51
594,346,89,no,89
236,436,71,no,71
548,538,58,yes,58
426,630,50,yes,50
340,136,44,yes,44
158,50,56,yes,56
216,286,112,no,112
388,404,95,no,95
700,282,85,no,85
120,548,113,no,113
476,90,103,no,103
538,426,100,no,100
220,260,95,no,95
266,454,81,no,81
114,160,56,yes,56
748,454,54,yes,54
256,170,88,no,88
246,416,75,no,75
72,554,100,no,100
708,308,95,no,95
762,136,87,no,87
388,382,78,no,78
262,432,57,yes,57
244,254,105,no,105
712,372,40,yes,40
436,248,110,no,110
336,238,82,no,82
350,370,91,no,91
644,458,58,yes,58
92,538,91,no,91
796,166,94,no,94
336,568,84,no,84
442,280,96,no,96
296,248,66,no,66
62,74,44,yes,44
452,74,111,no,111
622,214,102,no,102
570,214,93,no,93
350,606,80,no,80
2,424,73,yes,73
152,392,91,no,91
794,20,53,yes,53
174,274,78,no,78
588,186,79,no,79
226,652,55,yes,55
706,512,28,yes,28
610,452,54,no,54
480,260,78,no,78
810,480,27,yes,27
246,550,64,no,64
244,144,70,no,70
190,304,42,no,42
520,392,49,no,49
670,318,63,no,63
102,578,61,no,61
240,460,66,no,66
48,258,45,no,45
808,340,36,no,36
430,82,76,no,76
448,132,54,no,54
324,610,40,no,40
684,434,57,no,57
586,228,50,no,50
522,438,42,no,42
146,428,40,no,40
496,582,27,yes,27
18,436,54,no,54
38,670,52,yes,52
566,546,32,no,32
526,532,52,no,52
724,452,48,no,48
294,522,17,yes,17
740,294,39,no,39
820,414,29,yes,29
620,532,24,yes,24
622,310,36,no,36
374,352,18,no,18
266,526,42,no,42
762,410,38,no,38
642,356,33,no,33
652,436,33,no,33
76,292,41,no,41
382,426,38,no,38
178,48,36,no,36
98,514,60,no,60
342,626,34,no,34
612,358,32,no,32
426,610,16,no,16
742,428,37,no,37
82,88,42,no,42
746,122,47,no,47
466,244,45,no,45
426,540,40,no,40
84,254,40,no,40
690,372,36,no,36
502,444,31,no,31
494,294,29,no,29
664,246,20,yes,20
726,256,26,no,26
550,512,21,no,21
244,620,22,no,22
282,328,22,no,22
8,404,36,no,36
760,300,27,no,27
666,146,21,no,21
