x,y,r (pixel),is_circle,r (um)
354,200,177,yes,177
526,522,203,no,203
530,498,184,yes,184
232,456,126,yes,126
548,484,159,no,159
366,178,148,no,148
552,504,172,no,172
336,178,177,no,177
258,356,360,no,360
378,220,207,no,207
328,210,198,no,198
514,546,229,no,229
518,478,205,no,205
376,160,132,no,132
572,502,182,no,182
414,268,266,no,266
398,202,179,no,179
376,196,196,no,196
248,436,101,no,101
388,240,228,no,228
570,478,205,no,205
418,214,200,no,200
510,508,186,no,186
436,204,202,no,202
48,254,139,yes,139
550,462,137,no,137
316,192,192,no,192
286,162,234,no,234
536,424,259,no,259
586,518,203,no,203
356,222,192,no,192
272,306,306,no,306
398,180,178,no,178
208,444,141,no,141
458,448,261,no,261
550,538,148,no,148
492,496,220,no,220
336,296,269,no,269
444,236,234,no,234
244,508,175,no,175
576,542,246,no,246
568,450,228,no,228
218,472,147,no,147
350,244,243,no,243
286,204,232,no,232
370,258,228,no,228
310,218,217,no,217
224,404,179,no,179
418,188,181,no,181
356,274,245,no,245
26,256,159,no,159
258,252,274,no,274
468,492,241,no,241
296,144,228,no,228
510,456,208,no,208
270,462,135,no,135
492,524,202,no,202
264,424,171,no,171
314,272,258,no,258
534,574,256,no,256
282,232,249,no,249
482,436,243,no,243
312,172,197,no,197
336,142,235,no,235
228,432,130,no,130
248,474,91,no,91
466,518,222,no,222
290,398,207,no,207
574,428,255,no,255
414,158,157,no,157
318,150,210,no,210
498,476,210,no,210
54,286,119,no,119
224,236,257,no,257
350,162,192,no,192
618,418,195,no,195
294,454,185,no,185
240,416,139,no,139
396,148,147,no,147
222,504,174,no,174
196,414,166,no,166
478,540,138,no,138
368,142,112,no,112
70,300,97,no,97
12,230,177,no,177
580,564,109,no,109
592,466,204,no,204
566,524,189,no,189
272,442,123,no,123
556,560,123,no,123
74,270,151,no,151
594,488,132,no,132
64,240,119,no,119
448,486,197,no,197
390,266,89,no,89
330,238,176,no,176
580,588,95,no,95
616,446,185,no,185
138,248,172,no,172
254,400,158,no,158
286,374,134,no,134
158,98,97,no,97
288,418,152,no,152
68,198,197,no,197
86,318,73,no,73
426,534,103,no,103
616,520,101,no,101
182,446,150,no,150
124,220,135,no,135
322,126,124,no,124
598,574,117,no,117
434,254,79,no,79
574,380,137,no,137
348,112,101,no,101
264,496,64,no,64
392,128,126,no,126
442,568,116,no,116
414,242,103,no,103
638,598,71,no,71
150,206,136,no,136
460,214,127,no,127
624,540,94,no,94
676,520,94,no,94
136,62,61,no,61
440,132,130,no,130
236,490,96,no,96
406,540,94,no,94
94,216,144,no,144
134,186,114,no,114
136,82,70,no,70
712,114,156,no,156
390,288,104,no,104
486,602,78,no,78
566,406,151,no,151
268,380,120,no,120
362,294,82,no,82
618,476,107,no,107
160,122,82,no,82
134,142,113,no,113
20,16,69,no,69
626,166,60,no,60
396,382,47,no,47
96,148,97,no,97
656,464,90,no,90
194,64,86,no,86
96,292,121,no,121
298,478,88,no,88
224,374,87,no,87
636,494,80,no,80
490,376,74,no,74
462,274,53,no,53
90,242,95,no,95
34,58,56,no,56
374,388,46,no,46
672,642,40,no,40
520,402,115,no,115
322,422,79,no,79
380,520,63,no,63
460,184,114,no,114
758,632,96,no,96
604,546,95,no,95
198,394,76,no,76
54,42,57,no,57
68,522,49,no,49
380,560,80,no,80
294,184,74,no,74
68,328,70,no,70
464,624,59,no,59
56,214,94,no,94
512,578,89,no,89
570,276,54,no,54
204,146,49,no,49
752,492,40,no,40
386,406,33,no,33
614,500,112,no,112
158,66,77,no,77
634,578,56,no,56
502,344,54,no,54
668,418,29,no,29
410,506,77,no,77
538,252,68,no,68
362,362,34,no,34
414,130,85,no,85
642,552,51,no,51
196,494,73,no,73
526,622,62,no,62
464,248,50,no,50
432,280,48,no,48
86,372,40,no,40
