x,y,r (pixel),is_circle,r (um)
402,312,189,yes,189
426,358,227,no,227
446,356,249,no,249
424,308,167,no,167
432,330,220,no,220
136,152,128,yes,128
388,352,227,no,227
372,332,223,no,223
434,388,244,no,244
510,530,76,yes,76
356,346,244,no,244
752,260,166,no,166
464,380,223,no,223
578,124,78,yes,78
194,376,115,no,115
114,146,145,no,145
468,354,249,no,249
358,242,249,no,249
340,312,249,no,249
154,250,248,no,248
410,346,222,no,222
154,182,180,no,180
400,290,188,no,188
112,168,157,no,157
350,294,232,no,232
372,306,213,no,213
246,588,170,no,170
206,590,93,no,93
180,396,92,yes,92
448,294,158,no,158
480,308,187,no,187
180,172,156,no,156
150,136,109,no,109
250,622,143,no,143
188,600,113,yes,113
454,334,198,no,198
502,336,221,no,221
732,264,144,yes,144
498,294,223,no,223
364,264,237,no,237
786,242,203,no,203
698,248,161,no,161
158,156,131,no,131
596,134,98,no,98
352,532,85,no,85
156,394,108,no,108
574,422,51,yes,51
596,100,105,no,105
210,362,137,no,137
148,206,179,no,179
160,222,159,no,159
470,276,156,no,156
136,172,112,no,112
554,112,92,no,92
208,392,90,no,90
758,302,170,no,170
170,138,148,no,148
734,244,150,no,150
536,514,105,no,105
54,302,50,yes,50
312,138,55,yes,55
524,566,116,no,116
778,278,190,no,190
106,126,166,no,166
182,192,160,no,160
744,282,151,no,151
224,606,114,no,114
614,116,89,no,89
372,282,158,no,158
212,626,161,no,161
762,236,159,no,159
166,374,94,no,94
342,506,93,no,93
200,550,120,no,120
516,508,99,no,99
386,530,81,no,81
454,424,68,no,68
420,218,168,no,168
490,528,92,no,92
334,626,45,yes,45
276,386,144,no,144
348,562,89,no,89
564,142,98,no,98
498,550,74,no,74
492,508,91,no,91
142,376,108,no,108
612,82,79,no,79
716,538,146,no,146
710,290,127,no,127
172,614,110,no,110
550,532,87,no,87
384,552,78,no,78
652,478,73,no,73
192,412,71,no,71
182,120,119,no,119
72,316,70,no,70
370,510,57,no,57
726,332,92,no,92
398,28,107,no,107
140,100,73,no,73
466,442,60,no,60
538,44,25,yes,25
414,432,61,no,61
674,136,33,yes,33
530,536,69,no,69
254,294,41,yes,41
666,392,54,no,54
354,628,49,no,49
538,304,95,no,95
172,416,71,no,71
720,76,44,no,44
454,464,69,no,69
338,646,40,no,40
278,494,29,yes,29
192,350,78,no,78
624,462,52,no,52
578,400,38,no,38
718,350,77,no,77
478,422,62,no,62
142,574,69,no,69
748,330,64,no,64
524,378,44,no,44
438,408,65,no,65
200,182,59,no,59
430,460,53,no,53
370,566,43,no,43
220,440,38,no,38
768,324,81,no,81
600,476,53,no,53
248,472,29,no,29
280,200,36,no,36
140,232,76,no,76
396,192,76,no,76
298,556,42,no,42
196,252,29,no,29
518,398,22,no,22
