x,y,r (pixel),is_circle,r (um)
674,464,131,yes,131
446,142,141,yes,141
688,216,108,yes,108
432,514,106,yes,106
436,120,133,no,133
154,500,106,yes,106
172,312,91,yes,91
686,196,89,no,89
170,512,107,no,107
420,134,154,no,154
694,454,129,no,129
424,496,110,no,110
676,434,102,no,102
382,330,84,yes,84
402,174,192,no,192
718,220,128,no,128
154,466,139,no,139
200,326,111,no,111
456,122,141,no,141
666,196,136,no,136
358,324,97,no,97
390,462,196,no,196
178,494,101,no,101
656,454,141,no,141
424,170,177,no,177
392,118,175,no,175
386,504,136,no,136
278,198,62,yes,62
384,140,183,no,183
406,506,130,no,130
656,474,151,no,151
154,296,114,no,114
418,110,139,no,139
200,288,131,no,131
646,204,155,no,155
468,150,133,no,133
210,308,118,no,118
666,218,117,no,117
146,518,107,no,107
202,520,140,no,140
410,154,158,no,158
130,484,132,no,132
140,316,115,no,115
294,616,75,yes,75
218,336,133,no,133
706,186,152,no,152
406,474,148,no,148
700,474,120,no,120
670,176,138,no,138
408,342,98,no,98
650,174,163,no,163
456,526,125,no,125
300,406,44,yes,44
274,620,85,no,85
178,292,70,no,70
688,490,152,no,152
698,232,101,no,101
134,156,89,no,89
358,302,109,no,109
286,216,58,no,58
278,390,64,no,64
282,178,82,no,82
380,304,56,no,56
654,26,25,yes,25
446,174,116,no,116
168,446,120,no,120
238,12,100,yes,100
428,536,84,no,84
166,336,68,no,68
384,354,66,no,66
150,196,76,no,76
446,496,89,no,89
224,104,29,yes,29
136,458,60,no,60
434,476,70,no,70
716,168,56,no,56
742,220,71,no,71
166,276,50,no,50
