x,y,r (pixel),is_circle,r (um)
646,140,82,yes,82
482,230,81,yes,81
100,500,108,yes,108
326,386,112,yes,112
664,296,60,yes,60
834,456,156,yes,156
412,356,205,no,205
300,610,88,yes,88
546,402,80,yes,80
262,184,80,yes,80
620,660,114,yes,114
460,536,64,yes,64
152,316,55,yes,55
134,486,120,no,120
628,150,102,no,102
808,152,62,yes,62
358,386,125,no,125
54,220,61,yes,61
120,516,129,no,129
342,34,72,yes,72
584,354,158,no,158
348,406,140,no,140
316,404,133,no,133
818,438,132,no,132
342,360,129,no,129
462,242,103,no,103
280,172,70,no,70
562,416,117,no,117
314,368,115,no,115
332,606,124,no,124
494,212,103,no,103
526,448,156,no,156
572,396,91,no,91
332,582,111,no,111
668,144,127,no,127
436,544,116,no,116
152,534,150,no,150
366,348,148,no,148
582,434,126,no,126
564,370,99,no,99
488,528,84,no,84
330,342,126,no,126
148,506,131,no,131
532,420,100,no,100
292,208,124,no,124
450,514,92,no,92
370,328,162,no,162
512,352,146,no,146
160,462,146,no,146
294,378,136,no,136
438,568,117,no,117
320,626,112,no,112
502,374,130,no,130
504,234,101,no,101
294,410,78,no,78
364,232,33,yes,33
76,486,134,no,134
510,414,136,no,136
424,522,104,no,104
304,584,100,no,100
496,500,99,no,99
648,174,133,no,133
110,482,88,no,88
438,222,135,no,135
242,190,101,no,101
280,632,116,no,116
124,458,127,no,127
466,500,112,no,112
532,386,109,no,109
628,306,104,no,104
584,378,112,no,112
506,194,106,no,106
132,332,89,no,89
432,632,53,no,53
356,590,133,no,133
372,368,131,no,131
838,476,198,no,198
154,284,100,no,100
290,154,86,no,86
182,300,79,no,79
262,206,101,no,101
650,314,83,no,83
658,496,70,no,70
662,274,80,no,80
818,478,130,no,130
462,218,103,no,103
634,122,98,no,98
60,200,82,no,82
552,336,123,no,123
636,282,89,no,89
380,388,107,no,107
482,252,97,no,97
164,662,42,yes,42
566,514,31,yes,31
816,176,98,no,98
274,400,93,no,93
78,212,76,no,76
4,342,55,yes,55
300,174,85,no,85
602,400,120,no,120
794,444,116,no,116
684,282,85,no,85
308,194,94,no,94
514,214,99,no,99
844,432,147,no,147
730,210,35,yes,35
110,124,22,yes,22
678,320,90,no,90
814,458,120,no,120
476,550,70,no,70
532,234,89,no,89
778,288,29,yes,29
466,570,82,no,82
280,604,67,no,67
378,168,22,yes,22
82,520,76,no,76
352,508,56,no,56
658,474,56,no,56
154,174,52,no,52
58,546,46,no,46
408,626,50,no,50
434,496,65,no,65
186,238,64,no,64
284,428,58,no,58
576,496,48,no,48
338,434,45,no,45
794,418,100,no,100
754,432,74,no,74
434,456,61,no,61
510,522,72,no,72
390,436,34,no,34
278,336,44,no,44
620,482,29,no,29
336,54,69,no,69
268,154,48,no,48
174,322,53,no,53
404,398,51,no,51
228,252,31,no,31
68,440,36,no,36
32,446,13,yes,13
70,232,52,no,52
442,416,39,no,39
424,166,19,yes,19
394,414,28,no,28
152,242,46,no,46
