x,y,r (pixel),is_circle,r (um)
142,386,164,yes,127.92
506,398,175,yes,136.5
358,150,120,yes,93.60000000000001
734,212,123,yes,95.94
536,402,205,no,159.9
488,392,192,no,149.76
326,168,149,no,116.22
516,418,181,no,141.18
358,130,99,no,77.22
124,378,177,no,138.06
150,362,139,no,108.42
736,190,107,no,83.46000000000001
328,138,149,no,116.22
464,388,182,no,141.96
554,72,89,yes,69.42
524,386,164,no,127.92
500,372,199,no,155.22
312,614,124,yes,96.72
344,178,149,no,116.22
382,130,150,no,117.0
760,214,146,no,113.88000000000001
474,410,190,no,148.20000000000002
388,164,142,no,110.76
486,350,221,no,172.38
716,194,133,no,103.74000000000001
556,404,201,no,156.78
544,376,224,no,174.72
170,384,170,no,132.6
106,394,182,no,141.96
528,78,89,no,69.42
520,364,187,no,145.86
374,188,156,no,121.68
468,360,174,no,135.72
574,204,50,yes,39.0
140,342,117,no,91.26
176,364,161,no,125.58
144,410,140,no,109.2
316,120,118,no,92.04
564,366,183,no,142.74
342,112,111,no,86.58
120,358,196,no,152.88
372,108,106,no,82.68
536,58,102,no,79.56
572,84,104,no,81.12
586,184,72,no,56.160000000000004
548,438,117,no,91.26
746,170,86,no,67.08
706,174,78,no,60.84
558,50,78,no,60.84
708,154,97,no,75.66
496,218,34,yes,26.52
402,180,64,no,49.92
766,190,78,no,60.84
672,172,78,no,60.84
444,356,88,no,68.64
