x,y,r (pixel),is_circle,r (um)
428,544,108,yes,84.24000000000001
130,308,107,yes,83.46000000000001
668,240,102,yes,79.56
752,64,98,yes,76.44
390,136,90,yes,70.2
674,600,94,yes,73.32000000000001
44,502,91,yes,70.98
840,384,102,yes,79.56
556,40,98,yes,76.44
200,58,99,yes,77.22
222,550,79,yes,61.620000000000005
142,328,130,no,101.4
118,292,141,no,109.98
408,528,132,no,102.96000000000001
410,566,138,no,107.64
78,150,47,yes,36.660000000000004
118,324,126,no,98.28
450,558,130,no,101.4
384,158,114,no,88.92
684,216,130,no,101.4
648,230,111,no,86.58
690,246,118,no,92.04
312,604,33,yes,25.740000000000002
428,520,114,no,88.92
242,554,99,no,77.22
220,530,86,no,67.08
446,528,88,no,68.64
734,52,108,no,84.24000000000001
412,144,114,no,88.92
150,302,92,no,71.76
402,120,86,no,67.08
690,586,73,no,56.940000000000005
658,588,74,no,57.72
652,256,68,no,53.04
360,144,68,no,53.04
