x,y,r (pixel),is_circle,r (um)
284,250,42,yes,123.9
182,572,42,yes,123.9
132,332,36,yes,106.2
600,298,40,yes,118.0
96,258,58,no,171.10000000000002
294,138,45,yes,132.75
84,238,39,yes,115.05000000000001
344,206,30,yes,88.5
212,158,39,yes,115.05000000000001
358,88,34,yes,100.30000000000001
400,472,37,yes,109.15
438,542,46,yes,135.70000000000002
120,136,60,no,177.0
370,276,51,no,150.45000000000002
798,204,42,yes,123.9
72,582,60,no,177.0
104,430,64,no,188.8
462,618,50,no,147.5
272,450,40,yes,118.0
370,582,36,yes,106.2
520,144,32,yes,94.4
148,268,26,yes,76.7
128,156,39,yes,115.05000000000001
550,628,38,yes,112.10000000000001
186,382,30,yes,88.5
634,376,39,yes,115.05000000000001
370,152,33,yes,97.35000000000001
128,524,28,yes,82.60000000000001
104,588,41,yes,120.95
176,446,61,no,179.95000000000002
562,198,43,yes,126.85000000000001
212,280,37,yes,109.15
56,86,44,no,129.8
668,444,32,yes,94.4
762,110,30,yes,88.5
486,408,53,no,156.35000000000002
224,638,38,yes,112.10000000000001
276,126,54,no,159.3
154,68,41,no,120.95
466,170,30,yes,88.5
526,488,26,yes,76.7
224,218,25,yes,73.75
430,84,42,yes,123.9
94,96,30,no,88.5
470,474,30,yes,88.5
336,452,26,yes,76.7
192,148,46,no,135.70000000000002
628,152,39,no,115.05000000000001
662,314,25,yes,73.75
180,234,21,yes,61.95
436,372,34,no,100.30000000000001
308,394,29,yes,85.55000000000001
178,502,25,yes,73.75
146,646,34,yes,100.30000000000001
340,514,36,yes,106.2
424,140,26,yes,76.7
378,36,24,yes,70.80000000000001
566,520,31,yes,91.45
258,184,29,no,85.55000000000001
624,68,22,yes,64.9
464,124,21,yes,61.95
742,396,33,yes,97.35000000000001
440,320,31,yes,91.45
622,516,25,yes,73.75
198,128,44,no,129.8
688,630,35,yes,103.25
212,56,31,no,91.45
794,422,30,no,88.5
392,344,26,yes,76.7
792,68,22,yes,64.9
172,554,40,no,118.0
510,64,32,no,94.4
618,228,31,no,91.45
68,352,29,yes,85.55000000000001
404,636,29,yes,85.55000000000001
582,348,28,no,82.60000000000001
234,506,25,no,73.75
514,556,36,yes,106.2
94,650,22,yes,64.9
516,268,40,yes,118.0
74,528,29,no,85.55000000000001
538,318,25,yes,73.75
68,486,23,yes,67.85000000000001
232,104,22,yes,64.9
744,566,36,yes,106.2
790,656,25,no,73.75
606,108,20,yes,59.0
768,26,29,yes,85.55000000000001
576,462,27,yes,79.65
150,418,25,yes,73.75
490,322,25,yes,73.75
568,66,23,yes,67.85000000000001
642,566,30,yes,88.5
624,612,25,yes,73.75
142,464,22,yes,64.9
200,30,22,yes,64.9
490,512,19,yes,56.050000000000004
68,626,17,yes,50.150000000000006
766,272,29,yes,85.55000000000001
682,160,23,yes,67.85000000000001
688,64,22,yes,64.9
108,488,18,yes,53.1
676,262,29,no,85.55000000000001
120,14,28,yes,82.60000000000001
322,336,24,yes,70.80000000000001
736,68,24,yes,70.80000000000001
464,42,23,yes,67.85000000000001
790,380,23,yes,67.85000000000001
710,106,22,yes,64.9
830,80,20,yes,59.0
244,556,27,yes,79.65
688,566,18,yes,53.1
444,258,27,yes,79.65
174,118,18,yes,53.1
192,94,18,yes,53.1
474,216,22,yes,64.9
716,266,17,yes,50.150000000000006
80,66,16,yes,47.2
182,612,15,yes,44.25
732,226,28,yes,82.60000000000001
176,192,18,yes,53.1
820,356,18,yes,53.1
66,26,17,no,50.150000000000006
54,556,21,yes,61.95
578,138,29,yes,85.55000000000001
98,378,15,yes,44.25
268,526,26,no,76.7
728,148,24,yes,70.80000000000001
140,218,23,yes,67.85000000000001
186,328,22,yes,64.9
42,604,17,no,50.150000000000006
50,64,19,yes,56.050000000000004
