x,y,r (pixel),is_circle,r (um)
398,578,64,yes,64
130,542,66,yes,66
634,618,65,yes,65
54,414,50,yes,50
680,236,60,yes,60
102,530,95,no,95
78,314,46,yes,46
246,498,54,yes,54
144,164,38,yes,38
342,464,50,yes,50
522,132,60,yes,60
778,126,52,yes,52
466,470,52,yes,52
288,98,37,yes,37
392,178,84,no,84
776,368,48,yes,48
378,584,93,no,93
616,632,87,no,87
660,502,64,no,64
218,122,38,yes,38
408,162,87,no,87
392,118,83,no,83
234,392,55,yes,55
496,628,40,yes,40
312,86,68,no,68
668,254,75,no,75
140,62,54,no,54
414,380,54,no,54
60,212,53,yes,53
586,272,41,yes,41
512,154,82,no,82
806,560,60,no,60
694,488,77,no,77
402,142,60,yes,60
692,256,88,no,88
452,54,34,yes,34
488,314,43,yes,43
638,50,36,yes,36
322,376,35,yes,35
544,428,47,no,47
446,460,63,no,63
652,344,78,no,78
262,92,87,no,87
688,216,80,no,80
350,226,46,no,46
214,380,62,no,62
512,224,49,yes,49
216,358,75,no,75
510,548,60,no,60
276,266,48,no,48
292,176,36,yes,36
806,210,40,yes,40
622,600,74,no,74
330,448,66,no,66
686,140,37,yes,37
742,438,31,yes,31
164,152,81,no,81
810,466,40,yes,40
526,558,36,yes,36
766,148,70,no,70
506,330,66,no,66
78,126,41,yes,41
248,584,40,yes,40
756,372,64,no,64
294,252,49,no,49
684,340,41,yes,41
722,564,38,yes,38
404,294,33,yes,33
170,454,36,yes,36
436,228,34,yes,34
446,484,70,no,70
552,454,61,no,61
86,214,70,no,70
768,346,53,no,53
390,64,31,yes,31
102,306,64,no,64
136,258,34,yes,34
282,318,30,yes,30
360,476,64,no,64
496,384,38,yes,38
136,394,33,yes,33
594,534,33,yes,33
600,604,66,no,66
288,612,53,no,53
754,654,47,yes,47
196,244,25,yes,25
658,232,65,no,65
544,492,29,yes,29
800,448,50,no,50
310,614,37,yes,37
482,484,70,no,70
488,338,63,no,63
210,188,28,yes,28
662,482,50,no,50
656,406,31,yes,31
548,372,29,no,29
780,280,43,no,43
694,78,23,yes,23
172,646,61,yes,61
568,284,55,no,55
324,232,61,no,61
354,246,50,no,50
340,310,33,yes,33
108,614,31,yes,31
310,542,30,yes,30
138,86,51,yes,51
584,198,46,yes,46
222,294,34,yes,34
162,312,28,yes,28
598,324,48,no,48
216,48,35,yes,35
586,80,24,yes,24
788,546,60,no,60
394,374,52,no,52
464,450,49,no,49
480,612,48,no,48
746,502,42,no,42
54,586,35,yes,35
74,292,46,no,46
596,180,44,no,44
758,280,40,no,40
608,390,24,yes,24
116,384,46,no,46
236,50,44,no,44
252,208,23,yes,23
582,474,31,no,31
710,390,27,yes,27
548,324,32,no,32
618,132,37,yes,37
618,320,33,no,33
270,646,31,yes,31
280,194,41,no,41
216,402,48,no,48
118,454,30,yes,30
610,428,28,no,28
348,90,28,yes,28
414,124,46,no,46
306,594,35,no,35
606,342,34,no,34
176,360,23,yes,23
328,36,25,yes,25
688,120,25,no,25
480,536,22,yes,22
564,422,32,no,32
370,228,33,no,33
530,538,32,no,32
786,56,22,yes,22
352,654,21,yes,21
162,212,21,yes,21
336,208,39,no,39
318,276,22,yes,22
566,228,14,yes,14
456,106,19,yes,19
452,268,19,yes,19
