x,y,r (pixel),is_circle,r (um)
424,162,136,yes,136
630,394,137,yes,137
162,146,95,yes,95
252,318,75,yes,75
652,396,156,no,156
136,500,111,yes,111
628,116,75,yes,75
842,214,130,yes,130
618,416,184,no,184
98,310,60,yes,60
474,624,91,yes,91
388,440,84,yes,84
634,374,184,no,184
446,160,157,no,157
440,180,157,no,157
582,426,196,no,196
406,152,172,no,172
664,432,183,no,183
474,186,182,no,182
436,144,157,no,157
606,390,157,no,157
606,342,181,no,181
388,188,188,no,188
302,586,56,yes,56
668,382,176,no,176
412,130,170,no,170
118,508,130,no,130
476,206,238,no,238
650,360,174,no,174
598,410,172,no,172
406,172,152,no,152
460,644,115,no,115
154,522,166,no,166
610,366,171,no,171
470,162,160,no,160
190,164,147,no,147
418,190,169,no,169
144,160,117,no,117
646,416,111,no,111
666,412,170,no,170
170,474,162,no,162
410,444,125,no,125
458,134,132,no,132
388,214,218,no,218
648,140,113,no,113
434,206,186,no,186
614,98,96,no,96
174,128,86,no,86
372,454,116,no,116
488,640,111,no,111
606,436,174,no,174
650,94,84,no,84
180,510,155,no,155
152,486,144,no,144
688,418,188,no,188
628,440,161,no,161
624,576,62,yes,62
112,528,146,no,146
404,424,128,no,128
270,306,78,no,78
670,348,173,no,173
432,122,108,no,108
410,210,162,no,162
836,178,161,no,161
364,434,106,no,106
132,522,111,no,111
820,422,60,yes,60
490,172,165,no,165
230,316,97,no,97
138,132,122,no,122
630,352,102,no,102
186,144,94,no,94
826,202,89,no,89
632,74,86,no,86
658,116,79,no,79
290,300,87,no,87
782,10,74,no,74
308,564,102,no,102
130,296,85,no,85
286,322,95,no,95
852,196,97,no,97
634,474,126,no,126
642,564,58,no,58
484,138,136,no,136
474,112,108,no,108
384,420,66,no,66
686,366,135,no,135
110,294,67,no,67
132,478,88,no,88
804,210,70,no,70
572,444,90,no,90
400,108,87,no,87
252,296,57,no,57
156,118,65,no,65
838,234,86,no,86
754,12,64,no,64
660,72,58,no,58
602,572,24,no,24
192,676,52,yes,52
638,590,32,no,32
570,376,73,no,73
