x,y,r (pixel),is_circle,r (um)
470,70,46,yes,46
744,306,43,yes,43
496,194,45,yes,45
642,196,53,yes,53
362,248,43,yes,43
654,448,46,yes,46
264,346,39,yes,39
796,156,39,yes,39
288,620,37,yes,37
742,224,40,yes,40
654,108,31,yes,31
260,428,45,yes,45
220,50,40,yes,40
254,192,37,yes,37
420,206,28,yes,28
610,364,48,yes,48
614,604,40,yes,40
96,178,39,yes,39
562,296,38,yes,38
740,436,40,yes,40
226,238,99,no,99
568,110,54,yes,54
280,266,43,yes,43
418,542,44,yes,44
174,196,42,yes,42
372,176,24,yes,24
422,138,39,yes,39
536,356,30,yes,30
558,436,43,yes,43
694,372,39,yes,39
340,320,36,yes,36
388,64,36,yes,36
68,332,33,yes,33
342,120,38,yes,38
634,288,34,yes,34
138,418,32,yes,32
742,516,42,yes,42
480,304,45,yes,45
526,586,43,yes,43
700,58,37,yes,37
166,106,34,yes,34
192,298,29,yes,29
192,370,36,yes,36
470,458,49,yes,49
624,38,42,yes,42
566,226,26,yes,26
712,140,31,yes,31
104,52,42,yes,42
136,624,41,yes,41
114,548,35,yes,35
52,520,32,yes,32
760,92,31,yes,31
110,112,25,yes,25
810,346,32,yes,32
486,528,25,yes,25
318,192,29,yes,29
474,370,28,yes,28
822,88,28,yes,28
58,406,41,yes,41
268,108,31,yes,31
220,134,27,yes,27
144,328,25,yes,25
308,492,45,yes,45
534,12,39,yes,39
688,258,29,yes,29
542,506,34,yes,34
406,412,29,yes,29
414,286,26,yes,26
608,524,38,yes,38
776,572,29,yes,29
334,32,25,yes,25
810,522,25,yes,25
384,472,33,yes,33
804,400,28,yes,28
40,112,48,yes,48
448,616,43,yes,43
410,346,38,yes,38
694,632,39,yes,39
768,646,37,yes,37
96,472,36,yes,36
806,270,29,yes,29
34,464,28,yes,28
756,370,27,yes,27
114,260,46,yes,46
804,466,31,yes,31
676,442,68,no,68
320,378,29,yes,29
352,420,27,yes,27
294,54,25,yes,25
60,588,44,yes,44
362,368,18,yes,18
194,448,28,yes,28
294,150,18,yes,18
428,22,17,yes,17
342,560,39,yes,39
370,648,46,yes,46
524,252,19,yes,19
660,552,25,yes,25
726,582,25,yes,25
680,510,23,yes,23
574,176,18,yes,18
494,130,19,yes,19
48,278,24,yes,24
836,220,35,yes,35
168,56,22,yes,22
706,540,19,yes,19
508,638,30,yes,30
508,396,21,yes,21
390,588,20,yes,20
24,352,23,yes,23
238,296,18,yes,18
272,246,43,no,43
