x,y,r (pixel),is_circle,r (um)
554,302,68,yes,68
580,70,71,yes,71
424,420,83,yes,83
632,576,62,yes,62
738,520,45,yes,45
378,164,73,no,73
142,512,46,yes,46
642,376,41,yes,41
730,412,54,yes,54
592,458,42,yes,42
102,246,45,yes,45
652,180,56,yes,56
750,622,46,yes,46
778,162,55,yes,55
188,318,52,yes,52
668,288,47,yes,47
236,426,45,yes,45
264,220,54,yes,54
308,334,54,yes,54
826,474,41,yes,41
782,300,65,yes,65
364,554,53,yes,53
508,532,60,yes,60
424,276,52,yes,52
550,180,41,yes,41
436,32,66,yes,66
158,160,40,yes,40
248,534,48,yes,48
102,50,77,yes,77
66,382,64,yes,64
160,400,26,yes,26
240,44,48,yes,48
706,74,48,yes,48
486,120,37,yes,37
448,610,40,yes,40
828,386,36,yes,36
328,60,45,yes,45
812,550,29,yes,29
392,148,75,no,75
274,642,30,yes,30
534,326,110,no,110
26,186,28,yes,28
670,468,29,yes,29
476,198,31,yes,31
840,620,39,yes,39
728,620,63,no,63
296,126,27,yes,27
366,678,51,yes,51
228,128,34,yes,34
82,162,27,yes,27
536,646,41,yes,41
170,600,42,yes,42
804,46,42,yes,42
318,462,35,yes,35
608,574,93,no,93
344,252,33,yes,33
32,126,30,yes,30
364,142,92,no,92
636,192,75,no,75
536,404,27,yes,27
348,58,52,no,52
114,442,27,yes,27
626,390,58,no,58
182,230,28,yes,28
58,520,34,yes,34
326,614,20,yes,20
232,602,17,yes,17
296,582,23,yes,23
254,416,44,no,44
520,224,18,yes,18
84,464,16,no,16
184,94,21,yes,21
