x,y,r (pixel),is_circle,r (um)
116,130,117,yes,176.67
406,494,102,yes,154.02
414,272,100,no,151.0
422,294,88,yes,132.88
572,226,174,no,262.74
618,258,105,yes,158.55
636,310,174,no,262.74
616,290,127,no,191.77
360,110,114,yes,172.14000000000001
400,334,135,no,203.85
596,260,116,no,175.16
216,506,83,yes,125.33
114,348,107,no,161.57
166,544,142,no,214.42
586,440,81,yes,122.31
592,288,145,no,218.95
658,250,129,no,194.79
622,324,174,no,262.74
138,342,84,yes,126.84
380,324,159,no,240.09
664,212,171,no,258.21
638,190,159,no,240.09
374,252,169,no,255.19
126,108,119,no,179.69
556,208,162,no,244.62
332,104,119,no,179.69
136,134,131,no,197.81
372,302,174,no,262.74
356,242,161,no,243.11
592,208,158,no,238.58
618,232,125,no,188.75
96,138,138,no,208.38
670,266,167,no,252.17
672,232,157,no,237.07
386,532,150,no,226.5
592,310,160,no,241.6
642,226,130,no,196.3
440,272,109,no,164.59
428,328,123,no,185.73
380,114,112,no,169.12
652,280,145,no,218.95
344,88,98,no,147.98
98,112,128,no,193.28
468,490,171,no,258.21
420,248,124,no,187.24
576,276,164,no,247.64000000000001
398,312,149,no,224.99
628,210,135,no,203.85
376,504,134,no,202.34
398,292,103,no,155.53
196,512,100,no,151.0
282,364,83,no,125.33
504,144,58,yes,87.58
402,516,127,no,191.77
116,150,103,no,155.53
660,300,166,no,250.66
86,162,160,no,241.6
638,250,120,no,181.2
736,146,48,yes,72.48
152,118,142,no,214.42
440,510,133,no,200.83
388,236,171,no,258.21
136,320,101,no,152.51
226,484,105,no,158.55
598,232,118,no,178.18
440,486,125,no,188.75
178,338,123,no,185.73
756,444,90,no,135.9
174,154,172,no,259.72
594,186,125,no,188.75
422,474,113,no,170.63
402,98,137,no,206.87
326,80,135,no,203.85
258,234,61,no,92.11
612,410,140,no,211.4
446,250,120,no,181.2
452,294,110,no,166.1
396,264,108,no,163.08
696,436,100,no,151.0
294,396,83,no,125.33
604,106,50,yes,75.5
278,236,80,no,120.8
776,322,58,yes,87.58
150,98,142,no,214.42
176,524,133,no,200.83
