x,y,r (pixel),is_circle,r (um)
434,444,162,yes,244.62
236,238,124,yes,187.24
432,416,139,no,209.89000000000001
172,516,117,yes,176.67
412,436,166,no,250.66
388,438,194,no,292.94
768,208,111,yes,167.61
214,234,131,no,197.81
666,618,137,yes,206.87
668,388,88,yes,132.88
454,430,169,no,255.19
458,450,177,no,267.27
186,530,137,no,206.87
406,462,191,no,288.41
398,418,172,no,259.72
422,192,72,yes,108.72
214,496,161,no,243.11
412,402,160,no,241.6
574,242,78,yes,117.78
454,472,198,no,298.98
264,238,153,no,231.03
160,532,151,no,228.01
154,492,124,no,187.24
426,466,186,no,280.86
174,488,131,no,197.81
434,394,155,no,234.05
218,254,148,no,223.48
166,560,161,no,243.11
230,212,131,no,197.81
192,554,161,no,243.11
210,526,158,no,238.58
276,256,172,no,259.72
248,256,144,no,217.44
194,494,152,no,229.52
136,506,163,no,246.13
256,218,151,no,228.01
596,58,122,yes,184.22
480,456,199,no,300.49
182,468,146,no,220.46
212,474,143,no,215.93
474,434,188,no,283.88
26,94,111,yes,167.61
136,536,150,no,226.5
468,414,186,no,280.86
372,34,97,yes,146.47
214,194,143,no,215.93
452,384,165,no,249.15
630,616,148,no,223.48
192,228,168,no,253.68
364,494,190,no,286.9
154,470,134,no,202.34
622,52,141,no,212.91
208,48,69,yes,104.19
392,396,184,no,277.84
210,274,164,no,247.64000000000001
746,198,118,no,178.18
656,368,92,no,138.92
684,624,156,no,235.56
654,596,117,no,176.67
112,514,169,no,255.19
234,500,155,no,234.05
140,556,164,no,247.64000000000001
590,36,114,no,172.14000000000001
2,340,126,yes,190.26
666,638,154,no,232.54
292,590,62,no,93.62
782,228,134,no,202.34
196,258,159,no,240.09
646,632,151,no,228.01
676,598,122,no,184.22
648,394,104,no,157.04
710,622,181,no,273.31
248,198,139,no,209.89000000000001
782,190,130,no,196.3
412,172,77,no,116.27
206,214,138,no,208.38
632,596,137,no,206.87
594,244,100,no,151.0
560,226,90,no,135.9
436,170,79,no,119.29
686,370,112,no,169.12
680,406,110,no,166.1
618,634,175,no,264.25
376,474,170,no,256.7
760,232,93,no,140.43
192,188,160,no,241.6
224,556,94,no,141.94
608,614,168,no,253.68
108,482,155,no,234.05
232,528,129,no,194.79
574,74,95,no,143.45
116,534,131,no,197.81
576,264,99,no,149.49
418,372,130,no,196.3
368,12,99,no,149.49
570,44,139,no,209.89000000000001
676,576,120,no,181.2
630,370,109,no,164.59
584,224,80,no,120.8
554,250,100,no,151.0
764,180,118,no,178.18
8,320,106,no,160.06
26,342,104,no,157.04
44,108,110,no,166.1
128,484,94,no,141.94
288,624,40,no,60.4
176,580,70,no,105.7
742,222,95,no,143.45
208,574,77,no,116.27
710,594,92,no,138.92
640,342,86,no,129.86
354,662,75,no,113.25
258,580,32,no,48.32
256,372,31,no,46.81
198,302,60,no,90.6
718,482,43,no,64.93
294,568,28,no,42.28
268,626,17,no,25.67
390,18,78,no,117.78
