x,y,r (pixel),is_circle,r (um)
230,328,117,yes,117
672,430,90,yes,90
484,474,94,yes,94
248,342,130,no,130
250,116,106,no,106
224,108,107,no,107
544,298,92,no,92
230,130,128,no,128
276,304,181,no,181
512,244,193,no,193
494,172,171,no,171
482,250,151,no,151
288,332,169,no,169
260,364,150,no,150
386,210,77,yes,77
282,364,169,no,169
180,358,175,no,175
268,128,126,no,126
262,322,190,no,190
200,332,147,no,147
322,564,90,no,90
298,132,154,no,154
468,490,116,no,116
228,390,165,no,165
216,348,138,no,138
528,286,99,no,99
242,98,87,yes,87
626,136,107,no,107
654,126,69,yes,69
680,408,113,no,113
276,162,174,no,174
268,346,147,no,147
390,190,97,no,97
412,88,70,no,70
522,144,75,no,75
494,144,69,yes,69
248,382,166,no,166
204,372,163,no,163
224,158,142,no,142
206,98,111,no,111
420,476,146,no,146
214,282,164,no,164
652,100,101,no,101
504,264,129,no,129
682,164,129,no,129
646,164,108,no,108
262,100,104,no,104
648,422,100,no,100
758,196,86,no,86
364,206,78,no,78
658,380,141,no,141
224,84,122,no,122
608,148,105,no,105
500,490,110,no,110
204,132,128,no,128
346,580,92,no,92
294,98,141,no,141
250,142,108,no,108
680,102,99,no,99
234,366,151,no,151
526,306,90,yes,90
390,86,62,yes,62
210,310,141,no,141
658,270,68,no,68
764,312,60,yes,60
68,474,109,no,109
530,260,123,no,123
672,136,105,no,105
628,96,94,no,94
564,282,121,no,121
546,144,99,no,99
510,124,93,no,93
304,536,123,no,123
478,300,117,no,117
412,220,92,no,92
624,116,87,no,87
508,286,84,no,84
782,198,75,yes,75
532,178,87,no,87
404,170,99,no,99
242,312,114,no,114
400,348,55,yes,55
252,286,127,no,127
226,488,50,yes,50
176,586,64,yes,64
806,186,109,no,109
674,288,57,no,57
772,180,75,no,75
394,236,72,no,72
302,558,101,no,101
624,224,85,no,85
464,454,122,no,122
378,70,69,no,69
742,58,39,yes,39
476,152,93,no,93
650,294,67,no,67
510,160,57,no,57
642,396,99,no,99
402,68,61,no,61
338,442,50,yes,50
496,450,121,no,121
626,164,86,no,86
420,348,65,no,65
326,540,72,no,72
246,162,94,no,94
74,600,48,yes,48
512,182,92,no,92
120,174,52,yes,52
584,194,35,yes,35
252,74,77,no,77
750,176,66,no,66
600,508,39,yes,39
274,82,73,no,73
246,484,50,no,50
750,120,19,yes,19
364,452,62,no,62
414,198,54,no,54
196,582,51,no,51
210,476,50,no,50
508,516,68,no,68
236,510,47,no,47
692,122,44,no,44
398,326,42,no,42
598,212,34,no,34
