x,y,r (pixel),is_circle,r (um)
126,266,105,yes,81.9
252,582,121,yes,94.38000000000001
598,360,92,yes,71.76
648,192,88,yes,68.64
130,288,130,no,101.4
16,648,119,yes,92.82000000000001
324,412,49,yes,38.22
106,258,138,no,107.64
268,594,140,no,109.2
470,286,33,yes,25.740000000000002
662,210,106,no,82.68
146,256,140,no,109.2
780,450,46,yes,35.88
236,570,94,no,73.32000000000001
698,54,27,yes,21.060000000000002
264,564,95,no,74.10000000000001
664,178,109,no,85.02
136,430,38,no,29.64
578,354,95,no,74.10000000000001
596,340,88,no,68.64
110,286,94,no,73.32000000000001
246,554,124,no,96.72
616,370,105,no,81.9
758,506,22,yes,17.16
178,424,17,yes,13.26
616,344,66,no,51.480000000000004
742,254,12,yes,9.36
630,182,64,no,49.92
278,368,19,yes,14.82
94,390,14,yes,10.92
