x,y,r (pixel),is_circle,r (um)
386,234,105,no,105
376,254,125,yes,125
344,578,124,yes,124
166,40,104,yes,104
162,234,92,no,92
252,396,82,yes,82
138,502,76,yes,76
710,156,63,yes,63
380,18,111,yes,111
368,226,124,no,124
416,222,127,no,127
362,568,104,no,104
474,424,77,yes,77
400,252,128,no,128
186,36,83,no,83
324,566,133,no,133
378,544,116,no,116
368,590,150,no,150
786,286,87,yes,87
596,224,68,yes,68
232,400,98,no,98
162,254,112,no,112
142,242,105,no,105
538,556,74,yes,74
178,216,107,no,107
356,260,145,no,145
280,400,109,no,109
682,524,73,no,73
646,364,82,no,82
182,630,59,no,59
602,58,88,no,88
272,364,87,no,87
182,16,102,no,102
156,474,91,no,91
552,538,66,no,66
496,426,87,no,87
496,400,78,no,78
666,384,110,no,110
614,382,109,no,109
172,454,90,no,90
188,250,67,no,67
572,512,92,no,92
844,524,76,no,76
136,480,56,no,56
346,554,92,no,92
148,202,91,no,91
400,10,84,no,84
326,544,75,no,75
474,404,56,no,56
392,578,74,no,74
252,374,58,no,58
192,272,47,no,47
416,286,74,no,74
464,124,46,no,46
146,32,64,no,64
746,580,45,no,45
84,594,44,yes,44
668,506,43,no,43
558,564,42,no,42
730,158,44,no,44
160,508,43,no,43
