x,y,r (pixel),is_circle,r (um)
664,310,113,no,113
544,456,99,yes,99
370,332,117,yes,117
712,466,79,yes,79
688,300,86,yes,86
200,98,84,yes,84
638,598,82,yes,82
628,142,66,yes,66
392,318,91,no,91
642,310,129,no,129
82,392,63,yes,63
498,612,62,yes,62
210,130,127,no,127
386,564,47,yes,47
516,102,52,yes,52
178,114,112,no,112
714,286,104,no,104
244,434,114,no,114
334,330,123,no,123
204,452,76,no,76
514,460,121,no,121
558,434,115,no,115
236,98,90,no,90
664,600,83,no,83
108,506,52,yes,52
362,312,115,no,115
420,308,114,no,114
742,132,56,yes,56
700,316,121,no,121
248,586,96,no,96
222,258,89,no,89
278,570,55,yes,55
630,166,90,no,90
114,382,89,no,89
220,84,83,no,83
230,418,111,no,111
370,70,90,yes,90
306,558,111,no,111
652,580,101,no,101
534,304,53,yes,53
312,576,106,no,106
770,614,51,yes,51
570,454,123,no,123
676,576,96,no,96
672,284,103,no,103
658,144,101,no,101
582,126,113,no,113
390,74,80,no,80
178,428,99,no,99
518,596,86,no,86
192,276,55,yes,55
608,150,86,no,86
240,120,107,no,107
362,132,105,no,105
738,456,68,no,68
218,438,63,no,63
530,440,99,no,99
656,164,88,no,88
190,244,86,no,86
410,472,56,yes,56
626,582,94,no,94
698,62,43,yes,43
490,216,50,yes,50
310,472,48,yes,48
334,464,70,no,70
198,430,71,no,71
592,458,115,no,115
98,366,90,no,90
288,546,82,no,82
788,606,56,no,56
226,192,34,yes,34
108,154,63,no,63
126,496,54,no,54
180,92,93,no,93
566,208,33,yes,33
166,576,44,yes,44
380,182,41,yes,41
720,306,106,no,106
556,304,57,no,57
402,650,43,yes,43
96,138,43,yes,43
106,244,39,yes,39
782,374,38,yes,38
524,618,75,no,75
164,268,66,no,66
456,526,30,yes,30
764,132,54,no,54
296,172,47,yes,47
60,388,79,no,79
390,470,68,no,68
452,148,39,yes,39
174,350,29,yes,29
516,126,72,no,72
536,110,61,no,61
410,58,104,no,104
256,566,76,no,76
410,552,66,no,66
650,618,64,no,64
416,498,63,no,63
230,456,61,no,61
618,604,80,no,80
740,104,74,no,74
514,218,70,no,70
470,216,63,no,63
212,276,56,no,56
150,188,42,no,42
62,284,48,no,48
102,402,72,no,72
128,234,51,no,51
258,344,34,yes,34
286,238,31,yes,31
500,114,59,no,59
322,162,56,no,56
404,572,53,no,53
406,88,81,no,81
152,638,24,yes,24
226,670,44,yes,44
128,312,29,yes,29
646,392,30,yes,30
534,164,18,yes,18
760,468,70,no,70
194,478,56,no,56
288,8,42,yes,42
176,292,49,no,49
482,26,28,yes,28
66,360,61,no,61
2,482,43,yes,43
342,610,27,yes,27
132,518,55,no,55
170,190,40,no,40
574,668,33,yes,33
316,670,33,yes,33
756,540,27,yes,27
186,574,48,no,48
722,442,61,no,61
800,66,34,yes,34
512,634,47,no,47
176,506,24,yes,24
718,196,20,yes,20
232,608,37,no,37
596,252,20,yes,20
352,60,43,no,43
738,288,40,no,40
142,460,33,no,33
110,528,46,no,46
586,220,32,no,32
282,292,24,yes,24
346,514,15,yes,15
84,196,14,yes,14
758,152,38,no,38
846,650,32,yes,32
600,516,24,yes,24
234,482,22,no,22
412,218,14,yes,14
536,238,14,yes,14
492,178,26,no,26
256,238,21,no,21
