x,y,r (pixel),is_circle,r (um)
110,102,101,yes,152.51
430,160,84,yes,126.84
166,308,110,yes,166.1
508,522,94,yes,141.94
136,290,124,no,187.24
24,516,129,yes,194.79
702,234,78,yes,117.78
384,366,110,yes,166.1
372,334,115,no,173.65
218,472,77,yes,116.27
168,288,94,no,141.94
586,342,92,no,138.92
626,46,124,yes,187.24
366,358,124,no,187.24
484,510,111,no,167.61
572,526,165,no,249.15
488,532,116,no,175.16
700,456,71,yes,107.21
840,360,112,yes,169.12
274,152,72,yes,108.72
136,270,113,no,170.63
660,590,75,yes,113.25
568,198,55,yes,83.05
350,374,137,no,206.87
348,346,126,no,190.26
530,532,123,no,185.73
368,384,134,no,202.34
566,352,100,no,151.0
218,290,153,no,231.03
410,154,94,no,141.94
426,140,96,no,144.96
98,86,95,no,143.45
168,264,126,no,190.26
308,316,196,no,295.96
218,260,181,no,273.31
392,346,118,no,178.18
608,342,111,no,167.61
390,322,154,no,232.54
568,330,96,no,144.96
142,312,137,no,206.87
630,372,145,no,218.95
124,82,119,no,179.69
686,216,84,no,126.84
190,292,138,no,208.38
536,346,131,no,197.81
654,36,154,no,232.54
464,522,128,no,193.28
608,36,128,no,193.28
436,186,109,no,164.59
446,148,116,no,175.16
552,304,113,no,170.63
324,348,141,no,212.91
204,458,94,no,141.94
252,144,81,no,122.31
618,296,155,no,234.05
206,308,143,no,215.93
408,378,141,no,212.91
306,656,132,yes,199.32
526,508,113,no,170.63
480,550,133,no,200.83
488,490,111,no,167.61
506,542,143,no,215.93
156,334,139,no,209.89000000000001
684,588,95,no,143.45
652,572,74,no,111.74
552,510,138,no,208.38
706,208,89,no,134.39000000000001
176,326,131,no,197.81
194,244,158,no,238.58
534,324,127,no,191.77
90,106,86,no,129.86
472,146,128,no,193.28
686,442,76,no,114.76
404,180,115,no,173.65
606,60,114,no,172.14000000000001
394,140,109,no,164.59
336,484,48,yes,72.48
548,366,124,no,187.24
220,448,80,no,120.8
642,62,103,no,155.53
192,438,87,no,131.37
94,60,132,no,199.32
484,260,50,no,75.5
680,246,101,no,152.51
464,496,94,no,141.94
586,366,79,no,119.29
40,502,107,no,161.57
240,460,93,no,140.43
128,128,74,no,111.74
188,272,70,no,105.7
322,636,145,no,218.95
88,130,66,no,99.66
568,218,73,no,110.23
634,588,65,no,98.15
72,72,125,no,188.75
578,310,110,no,166.1
720,224,62,no,93.62
132,102,81,no,122.31
50,484,87,no,131.37
626,560,84,no,126.84
270,132,71,no,107.21
550,184,68,no,102.68
422,364,76,no,114.76
660,450,68,no,102.68
454,128,79,no,119.29
662,56,88,no,132.88
506,260,59,no,89.09
132,330,70,no,105.7
196,336,70,no,105.7
38,534,110,no,166.1
438,526,86,no,129.86
640,608,46,no,69.46
312,474,40,no,60.4
242,484,49,no,73.99
370,406,68,no,102.68
108,128,65,no,98.15
202,488,56,no,84.56
148,74,54,no,81.54
588,198,42,no,63.42
676,482,37,no,55.87
450,168,70,no,105.7
594,384,49,no,73.99
574,86,62,no,93.62
720,456,56,no,84.56
416,202,48,no,72.48
136,364,47,no,70.97
86,150,55,no,83.05
536,552,52,no,78.52
472,244,48,no,72.48
676,568,46,no,69.46
