x,y,r (pixel),is_circle,r (um)
128,204,144,yes,112.32000000000001
564,390,171,yes,133.38
126,176,119,no,92.82000000000001
282,334,150,no,117.0
278,394,222,yes,173.16
92,172,171,no,133.38
304,438,149,no,116.22
318,380,208,no,162.24
298,376,196,no,152.88
262,376,198,no,154.44
564,354,134,no,104.52000000000001
286,358,174,no,135.72
310,330,148,no,115.44
152,216,155,no,120.9
106,190,149,no,116.22
264,346,176,no,137.28
586,378,166,no,129.48000000000002
280,420,115,yes,89.7
532,376,206,no,160.68
466,630,106,yes,82.68
146,186,121,no,94.38000000000001
302,404,174,no,135.72
114,156,95,no,74.10000000000001
284,440,132,no,102.96000000000001
106,214,158,no,123.24000000000001
176,214,110,no,85.8
188,232,89,no,69.42
310,358,166,no,129.48000000000002
318,290,99,no,77.22
486,632,121,no,94.38000000000001
456,610,90,no,70.2
168,192,93,no,72.54
542,348,128,no,99.84
630,122,99,no,77.22
218,238,56,no,43.68
258,402,92,no,71.76
206,328,91,no,70.98
194,252,70,no,54.6
106,136,73,no,56.940000000000005
68,168,121,no,94.38000000000001
240,360,98,no,76.44
326,344,99,no,77.22
240,382,64,no,49.92
246,418,93,no,72.54
252,330,100,no,78.0
84,154,79,no,61.620000000000005
78,188,95,no,74.10000000000001
